Number	Compound Name       	isSite?
     1	CO2                 	0
     2	H2                  	0
     3	CH4                 	0
     4	H2O                 	0
     5	CO                  	0
     6	CH3OH               	0
     7	CH2O                	0
     8	C*                  	1
     9	CH*                 	1
    10	CH2*                	1
    11	CH2O*               	1
    12	CH2OH*              	1
    13	CH3*                	1
    14	CH3O*               	1
    15	CH3OH*              	1
    16	CH4*                	1
    17	CO*                 	1
    18	CO2*                	1
    19	COH*                	1
    20	H*                  	1
    21	H2O*                	1
    22	HCO*                	1
    23	HCOH*               	1
    24	HCOO*               	1
    25	OH*                 	1
    26	O*                  	1
    27	COOH*               	1
    28	*                   	1
