Number	Reaction Type  	Stoichiometry                           	Reaction orders                         	k-forward       	                                  	k-backward	     
     1	Arrhenius      	CO2 + * <-> CO2*                        	[CO2][*] <-> [CO2*]                     	8.9720000000e+03	* exp(-0.0000000000e+00/(R*T))    	1.3160000000e+10	* exp(-1.3798000000e+04/(R*T))    
     2	Arrhenius      	H2 + 2 * <-> 2 H*                       	[H2][*]^2 <-> [H*]^2                    	3.7000000000e+03	* exp(-2.5280000000e+04/(R*T))    	2.6490000000e+09	* exp(-5.7313000000e+04/(R*T))    
     3	Arrhenius      	H2O + * <-> H2O*                        	[H2O][*] <-> [H2O*]                     	1.4020000000e+08	* exp(-0.0000000000e+00/(R*T))    	3.3560000000e+14	* exp(-1.8815000000e+04/(R*T))    
     4	Arrhenius      	CO2* + * <-> CO* + O*                   	[CO2*][*] <-> [CO*][O*]                 	1.9180000000e+11	* exp(-8.2497000000e+04/(R*T))    	2.3290000000e+13	* exp(-1.3720500000e+05/(R*T))    
     5	Arrhenius      	CO2* + H* <-> HCOO* + *                 	[CO2*][H*] <-> [HCOO*][*]               	7.0040000000e+11	* exp(-1.0169800000e+05/(R*T))    	4.4270000000e+13	* exp(-9.7549000000e+04/(R*T))    
     6	Arrhenius      	CO2* + H* <-> COOH* + *                 	[CO2*][H*] <-> [COOH*][*]               	5.4050000000e+11	* exp(-1.2842400000e+05/(R*T))    	2.3570000000e+13	* exp(-7.7190000000e+04/(R*T))    
     7	Arrhenius      	CO2* + OH* <-> COOH* + O*               	[CO2*][OH*] <-> [COOH*][O*]             	4.8320000000e+10	* exp(-5.3647000000e+04/(R*T))    	6.9020000000e+12	* exp(-1.8526000000e+04/(R*T))    
     8	Arrhenius      	CO2* + H2O* <-> COOH* + OH*             	[CO2*][H2O*] <-> [COOH*][OH*]           	1.6050000000e+10	* exp(-3.4060000000e+04/(R*T))    	3.8570000000e+12	* exp(-2.5090000000e+03/(R*T))    
     9	Arrhenius      	CO2* + OH* <-> HCOO* + O*               	[CO2*][OH*] <-> [HCOO*][O*]             	4.6470000000e+11	* exp(-1.7184400000e+05/(R*T))    	8.9540000000e+13	* exp(-1.7232600000e+05/(R*T))    
    10	Arrhenius      	CO2* + H2O* <-> HCOO* + OH*             	[CO2*][H2O*] <-> [HCOO*][OH*]           	1.1210000000e+12	* exp(-1.7010700000e+05/(R*T))    	5.9820000000e+13	* exp(-1.8834300000e+05/(R*T))    
    11	Arrhenius      	COOH* + * <-> CO* + OH*                 	[COOH*][*] <-> [CO*][OH*]               	2.3350000000e+13	* exp(-4.7761000000e+04/(R*T))    	4.3140000000e+13	* exp(-1.4579200000e+05/(R*T))    
    12	Arrhenius      	COOH* + * <-> COH* + O*                 	[COOH*][*] <-> [COH*][O*]               	3.5500000000e+12	* exp(-1.2369700000e+05/(R*T))    	1.7780000000e+13	* exp(-1.1684400000e+05/(R*T))    
    13	Arrhenius      	HCOO* + * <-> O* + HCO*                 	[HCOO*][*] <-> [O*][HCO*]               	3.6980000000e+12	* exp(-1.3421400000e+05/(R*T))    	7.3100000000e+12	* exp(-7.4874000000e+04/(R*T))    
    14	Arrhenius      	CO* + * <-> C* + O*                     	[CO*][*] <-> [C*][O*]                   	1.7960000000e+12	* exp(-2.8791800000e+05/(R*T))    	1.4660000000e+13	* exp(-1.1067100000e+05/(R*T))    
    15	Arrhenius      	HCO* + * <-> CO* + H*                   	[HCO*][*] <-> [CO*][H*]                 	2.9050000000e+13	* exp(-2.0455000000e+04/(R*T))    	2.6310000000e+13	* exp(-1.3691500000e+05/(R*T))    
    16	Arrhenius      	HCO* + * <-> CH* + O*                   	[HCO*][*] <-> [CH*][O*]                 	3.1300000000e+12	* exp(-1.0594300000e+05/(R*T))    	1.4760000000e+13	* exp(-1.1308300000e+05/(R*T))    
    17	Arrhenius      	COH* + * <-> CO* + H*                   	[COH*][*] <-> [CO*][H*]                 	9.0730000000e+12	* exp(-1.1655700000e+05/(R*T))    	3.0240000000e+13	* exp(-2.1979800000e+05/(R*T))    
    18	Arrhenius      	COH* + * <-> C* + OH*                   	[COH*][*] <-> [C*][OH*]                 	2.5850000000e+12	* exp(-1.7464200000e+05/(R*T))    	2.1610000000e+13	* exp(-1.1018800000e+05/(R*T))    
    19	Arrhenius      	C* + H* <-> CH* + *                     	[C*][H*] <-> [CH*][*]                   	2.4440000000e+13	* exp(-6.1655000000e+04/(R*T))    	1.8060000000e+13	* exp(-1.2215300000e+05/(R*T))    
    20	Arrhenius      	CH* + H* <-> CH2* + *                   	[CH*][H*] <-> [CH2*][*]                 	4.3960000000e+13	* exp(-6.1462000000e+04/(R*T))    	1.6890000000e+13	* exp(-3.2613000000e+04/(R*T))    
    21	Arrhenius      	CH2* + H* <-> CH3* + *                  	[CH2*][H*] <-> [CH3*][*]                	3.1620000000e+13	* exp(-5.5094000000e+04/(R*T))    	1.5610000000e+13	* exp(-6.5418000000e+04/(R*T))    
    22	Arrhenius      	HCO* + H* <-> CH2O* + *                 	[HCO*][H*] <-> [CH2O*][*]               	1.3380000000e+13	* exp(-6.8216000000e+04/(R*T))    	1.4130000000e+13	* exp(-4.3033000000e+04/(R*T))    
    23	Arrhenius      	HCO* + H* <-> HCOH* + *                 	[HCO*][H*] <-> [HCOH*][*]               	2.1350000000e+13	* exp(-8.9444000000e+04/(R*T))    	8.7900000000e+12	* exp(-4.2251000000e+04/(R*T))    
    24	Arrhenius      	COH* + H* <-> HCOH* + *                 	[COH*][H*] <-> [HCOH*][*]               	7.1250000000e+12	* exp(-7.8830000000e+04/(R*T))    	4.7720000000e+12	* exp(-1.3894000000e+04/(R*T))    
    25	Arrhenius      	HCOH* + * <-> CH* + OH*                 	[HCOH*][*] <-> [CH*][OH*]               	4.7340000000e+12	* exp(-6.9085000000e+04/(R*T))    	2.3810000000e+13	* exp(-1.1501300000e+05/(R*T))    
    26	Arrhenius      	HCOH* + H* <-> CH2OH* + *               	[HCOH*][H*] <-> [CH2OH*][*]             	1.3370000000e+13	* exp(-6.0401000000e+04/(R*T))    	9.5090000000e+12	* exp(-3.9656000000e+04/(R*T))    
    27	Arrhenius      	CH2OH* + * <-> CH2* + OH*               	[CH2OH*][*] <-> [CH2*][OH*]             	2.2700000000e+13	* exp(-6.8892000000e+04/(R*T))    	3.6140000000e+13	* exp(-9.7645000000e+04/(R*T))    
    28	Arrhenius      	CH2OH* + H* <-> CH3OH* + *              	[CH2OH*][H*] <-> [CH3OH*][*]            	2.0460000000e+13	* exp(-5.8761000000e+04/(R*T))    	1.0330000000e+12	* exp(-9.9671000000e+04/(R*T))    
    29	Arrhenius      	CH2O* + H* <-> CH2OH* + *               	[CH2O*][H*] <-> [CH2OH*][*]             	4.2600000000e+13	* exp(-8.3172000000e+04/(R*T))    	1.4130000000e+13	* exp(-5.2875000000e+04/(R*T))    
    30	Arrhenius      	CH2O* + * <-> CH2* + O*                 	[CH2O*][*] <-> [CH2*][O*]               	1.4590000000e+13	* exp(-9.2917000000e+04/(R*T))    	1.7280000000e+13	* exp(-1.3170500000e+05/(R*T))    
    31	Arrhenius      	CH2O* + H* <-> CH3O* + *                	[CH2O*][H*] <-> [CH3O*][*]              	2.6490000000e+13	* exp(-3.3192000000e+04/(R*T))    	1.2550000000e+13	* exp(-7.7576000000e+04/(R*T))    
