Time            	CO2             	H2              	CH4             	H2O             	CO              	CH3OH           	CH2O            	C*              	CH*             	CH2*            	CH2O*           	CH2OH*          	CH3*            	CH3O*           	CH3OH*          	CH4*            	CO*             	CO2*            	COH*            	H*              	H2O*            	HCO*            	HCOH*           	HCOO*           	OH*             	O*              	COOH*           	*               
0.0000000000e+00	-1.7944000000e+03	-1.4703362256e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.7944000000e+03	0.0000000000e+00	2.9406724513e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.8238067245e+03
1.0000000000e-12	-1.7930951901e+03	-1.4703362203e+01	3.4854717744e-83	5.6851258494e-43	0.0000000000e+00	1.0228824939e-76	2.4287988374e-44	5.4004245371e-32	2.1765042844e-37	5.8940665354e-52	5.0745180329e-44	5.7628708738e-61	7.9060580926e-67	6.6350186975e-57	9.7982924588e-77	0.0000000000e+00	1.0430466450e-05	1.7930951797e+03	3.5581134098e-31	2.9406724405e+01	4.8072717798e-43	1.2331148719e-27	1.3344294917e-45	1.9924078939e-17	2.0256852280e-23	1.0430466450e-05	5.6366645749e-20	-1.8225019249e+03
1.0232929923e-12	-1.7930648085e+03	-1.4703362201e+01	4.3579985201e-83	6.4485873455e-43	0.0000000000e+00	1.2702361034e-76	2.7646374557e-44	5.6549067690e-32	2.3822781782e-37	6.7201368454e-52	5.6393383877e-44	6.7319776770e-61	9.4402323133e-67	7.7283857468e-57	1.1789257479e-76	0.0000000000e+00	1.0673332810e-05	1.7930647978e+03	3.8125399438e-31	2.9406724403e+01	5.3238140825e-43	1.3184245329e-27	1.4931373795e-45	2.0862895111e-17	2.1705344792e-23	1.0673332810e-05	5.9022147886e-20	-1.8224715436e+03
1.0471285481e-12	-1.7930337197e+03	-1.4703362200e+01	5.4474757790e-83	7.3135402988e-43	0.0000000000e+00	1.5773652310e-76	3.1463945593e-44	5.9213800953e-32	2.6074101693e-37	7.6610209184e-52	6.2660022479e-44	7.8631318748e-61	1.1269929567e-66	9.0004408942e-57	1.4171139907e-76	0.0000000000e+00	1.0921851995e-05	1.7930337088e+03	4.0851583259e-31	2.9406724400e+01	5.8950284738e-43	1.4095685359e-27	1.6706242023e-45	2.1845943689e-17	2.3257407057e-23	1.0921851995e-05	6.1802730195e-20	-1.8224404550e+03
1.0715193052e-12	-1.7930019074e+03	-1.4703362199e+01	6.8089945172e-83	8.2934857140e-43	0.0000000000e+00	1.9560276105e-76	3.5803832294e-44	6.2004094755e-32	2.8537070217e-37	8.7327622405e-52	6.9610288830e-44	9.1836719884e-61	1.3453496202e-66	1.0480454443e-56	1.7051533744e-76	0.0000000000e+00	1.1176155475e-05	1.7930018962e+03	4.3772691845e-31	2.9406724398e+01	6.5264664012e-43	1.5069398568e-27	1.8690910795e-45	2.2875308377e-17	2.4920443859e-23	1.1176155475e-05	6.4714282536e-20	-1.8224086429e+03
1.0964781961e-12	-1.7929693546e+03	-1.4703362198e+01	8.5110664367e-83	9.4036006171e-43	0.0000000000e+00	2.4221282466e-76	4.0737106986e-44	6.4925864834e-32	3.1231438794e-37	9.9535005842e-52	7.7316679370e-44	1.0725331830e-60	1.6059973521e-66	1.2202274269e-56	2.0544509462e-76	0.0000000000e+00	1.1436377772e-05	1.7929693431e+03	4.6902661255e-31	2.9406724395e+01	7.2243274794e-43	1.6109573237e-27	2.0909979572e-45	2.3953171018e-17	2.6702389331e-23	1.1436377772e-05	6.7762971990e-20	-1.8223760904e+03
1.1220184543e-12	-1.7929360442e+03	-1.4703362196e+01	1.0638782976e-82	1.0660958237e-42	0.0000000000e+00	2.9966286971e-76	4.6343775062e-44	6.7985305599e-32	3.4178800207e-37	1.1343743298e-51	8.5859814762e-44	1.2524924196e-60	1.9170927302e-66	1.4205025076e-56	2.4771252130e-76	0.0000000000e+00	1.1702656535e-05	1.7929360325e+03	5.0256423784e-31	2.9406724392e+01	7.9955229545e-43	1.7220672521e-27	2.3390941597e-45	2.5081816212e-17	2.8611744789e-23	1.1702656535e-05	7.0955255901e-20	-1.8223427803e+03
1.1481536215e-12	-1.7929019585e+03	-1.4703362195e+01	1.3298254253e-82	1.2084834965e-42	0.0000000000e+00	3.7056134271e-76	5.2714336545e-44	7.1188903261e-32	3.7402749029e-37	1.2926763658e-51	9.5328858767e-44	1.4625298828e-60	2.2883318373e-66	1.6534053571e-56	2.9874047429e-76	0.0000000000e+00	1.1975132606e-05	1.7929019465e+03	5.3849979158e-31	2.9406724390e+01	8.8476869941e-43	1.8407452458e-27	2.6164497143e-45	2.6263636157e-17	3.0657619276e-23	1.1975132606e-05	7.4297895531e-20	-1.8223086949e+03
1.1748975549e-12	-1.7928670795e+03	-1.4703362193e+01	1.6622086179e-82	1.3697030958e-42	0.0000000000e+00	4.5808065962e-76	5.9951424403e-44	7.4543449574e-32	4.0929058388e-37	1.4729028255e-51	1.0582209587e-43	1.7076430395e-60	2.7312834801e-66	1.9241995109e-56	3.6028635789e-76	0.0000000000e+00	1.2253950097e-05	1.7928670673e+03	5.7700470839e-31	2.9406724387e+01	9.7892130693e-43	1.9674980972e-27	2.9264907057e-45	2.7501135710e-17	3.2849772992e-23	1.2253950097e-05	7.7797970349e-20	-1.8222738162e+03
1.2022644346e-12	-1.7928313888e+03	-1.4703362192e+01	2.0776120381e-82	1.5522196632e-42	0.0000000000e+00	5.6609208092e-76	6.8171428398e-44	7.8056056221e-32	4.4785877608e-37	1.6780635843e-51	1.1744779982e-43	1.9936611878e-60	3.2597580194e-66	2.2389942898e-56	4.3451138797e-76	0.0000000000e+00	1.2539256467e-05	1.7928313763e+03	6.1826267760e-31	2.9406724384e+01	1.0829327938e-42	2.1028657778e-27	3.2730398287e-45	2.8796937693e-17	3.5198663839e-23	1.2539256467e-05	8.1462893002e-20	-1.8222381258e+03
