Time            	CO2             	H2              	CH4             	H2O             	CO              	CH3OH           	CH2O            	C*              	CH*             	CH2*            	CH2O*           	CH2OH*          	CH3*            	CH3O*           	CH3OH*          	CH4*            	CO*             	CO2*            	COH*            	H*              	H2O*            	HCO*            	HCOH*           	HCOO*           	OH*             	O*              	COOH*           	*               
0.0000000000e+00	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00
1.0000000000e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.8002505667e-43	4.4282407943e-48	9.1080449604e-62	9.0761653807e-54	7.8637444954e-70	1.0008783507e-75	9.1407981128e-66	1.1058277965e-84	0.0000000000e+00	5.2158653628e-17	1.7937474636e-08	8.8963890451e-42	2.9406723976e-10	8.8071359350e-53	3.1411076175e-38	2.2991327437e-55	6.6419633168e-28	5.0648314780e-34	5.2158653631e-17	1.8792216421e-30	9.9999998177e-01
1.0232929923e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.9289950648e-43	4.9587073701e-48	1.0582339319e-61	1.0319112069e-53	9.3258895798e-70	1.2079478471e-75	1.0816830206e-65	1.3584123866e-84	0.0000000000e+00	5.4616506768e-17	1.8355136597e-08	9.7545845344e-42	3.0091694558e-10	9.9824942824e-53	3.4382127975e-38	2.6278785469e-55	7.1169466967e-28	5.5534145973e-34	5.4616506771e-17	2.0135972948e-30	9.9999998134e-01
1.0471285481e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0669464917e-43	5.5528489583e-48	1.2300815599e-61	1.1732995421e-53	1.1074803267e-69	1.4610919723e-75	1.2815671893e-65	1.6740753478e-84	0.0000000000e+00	5.7190172898e-17	1.8782519828e-08	1.0695565371e-41	3.0792620154e-10	1.1315310930e-52	3.7632634855e-38	3.0042672570e-55	7.6258961952e-28	6.0891287531e-34	5.7190172902e-17	2.1575809917e-30	9.9999998091e-01
1.0715193052e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.2147632443e-43	6.2183139800e-48	1.4304333626e-61	1.3341215068e-53	1.3164049951e-69	1.7696089075e-75	1.5196895366e-65	2.0622748072e-84	0.0000000000e+00	5.9885108540e-17	1.9219850422e-08	1.1727317149e-41	3.1509872403e-10	1.2826325941e-52	4.1188692774e-38	3.4352654969e-55	8.1712406248e-28	6.6765202913e-34	5.9885108544e-17	2.3118596610e-30	9.9999998047e-01
1.0964781961e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3731508006e-43	6.9636185740e-48	1.6639931458e-61	1.5169974466e-53	1.5658123279e-69	2.1451677964e-75	1.8031729469e-65	2.5377847252e-84	0.0000000000e+00	6.2707027260e-17	1.9667359722e-08	1.2858595629e-41	3.2243831603e-10	1.4538772966e-52	4.5078840181e-38	3.9287404955e-55	8.7555824642e-28	7.3205740279e-34	6.2707027264e-17	2.4771693373e-30	9.9999998001e-01
1.1220184543e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.5428650856e-43	7.7982903015e-48	1.9362442392e-61	1.7248908572e-53	1.8635578270e-69	2.6025110865e-75	2.1406385921e-65	3.1218752933e-84	0.0000000000e+00	6.5661911773e-17	2.0125284440e-08	1.4099001118e-41	3.2994886909e-10	1.6478930891e-52	4.9334259701e-38	4.4936734920e-55	9.3817102751e-28	8.0267555988e-34	6.5661911778e-17	2.6542986712e-30	9.9999997954e-01
1.1481536215e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.7247160789e-43	8.7330040782e-48	2.2535937328e-61	1.9611669931e-53	2.2190934721e-69	3.1598162109e-75	2.5424150269e-65	3.8413396834e-84	0.0000000000e+00	6.8756026626e-17	2.0593866788e-08	1.5459059963e-41	3.3763436539e-10	1.8676586663e-52	5.3989011353e-38	5.1403601091e-55	1.0052612006e-27	8.8010578527e-34	6.8756026631e-17	2.8440926900e-30	9.9999997907e-01
1.1748975549e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9195716796e-43	9.7797115447e-48	2.6235095166e-61	2.2296435240e-53	2.6436788756e-69	3.8391662335e-75	3.0207628116e-65	4.7282054859e-84	0.0000000000e+00	7.1995931462e-17	2.1073354598e-08	1.6950313837e-41	3.4549887989e-10	2.1165434591e-52	5.9080299301e-38	5.8805899751e-55	1.0771489249e-27	9.6500516876e-34	7.1995931467e-17	3.0474568274e-30	9.9999997858e-01
1.2022644346e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.1283618474e-43	1.0951781996e-47	3.0546790527e-61	2.5346430197e-53	3.1507088115e-69	4.6673779453e-75	3.5902126972e-65	5.8211915244e-84	0.0000000000e+00	7.5388494923e-17	2.1564001456e-08	1.8585417646e-41	3.5354658245e-10	2.3983521083e-52	6.4648764849e-38	6.7278387120e-55	1.1541772512e-27	1.0580941788e-33	7.5388494929e-17	3.2653612405e-30	9.9999997808e-01
