Time            	CO2             	H2              	CH4             	H2O             	CO              	CH3OH           	CH2O            	C*              	CH*             	CH2*            	CH2O*           	CH2OH*          	CH3*            	CH3O*           	CH3OH*          	CH4*            	CO*             	CO2*            	COH*            	H*              	H2O*            	HCO*            	HCOH*           	HCOO*           	OH*             	O*              	COOH*           	*               
0.0000000000e+00	-1.7944000000e+04	-1.4703362256e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.7944000000e+04	0.0000000000e+00	2.9406724513e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.8238067245e+04
1.0000000000e-12	-1.7930950958e+04	-1.4703361720e+02	3.8338352357e-78	5.7011726943e-40	0.0000000000e+00	1.1009425093e-71	2.4437078629e-41	5.4004242948e-31	2.1756362670e-35	5.9257183946e-49	5.0566066127e-41	5.8181927731e-57	8.1815290342e-63	6.6757471838e-53	1.0106875061e-71	0.0000000000e+00	1.0430466004e-04	1.7930950853e+04	3.5581134330e-29	2.9406723440e+02	4.7899123316e-40	1.2331645872e-25	1.3330892535e-42	1.9924078088e-15	2.0256852372e-21	1.0430466004e-04	5.6366643341e-18	-1.8225018296e+04
1.0232929923e-12	-1.7930647120e+04	-1.4703361708e+02	4.7348062216e-78	6.4620263163e-40	0.0000000000e+00	1.3524126393e-71	2.7783661179e-41	5.6549065093e-31	2.3814212171e-35	6.7496185123e-49	5.6225773673e-41	6.7864982964e-57	9.7266696001e-63	7.7667632653e-53	1.2101216667e-71	0.0000000000e+00	1.0673332344e-04	1.7930647013e+04	3.8125399504e-29	2.9406723415e+02	5.3090318046e-40	1.3184736082e-25	1.4918040646e-42	2.0862894200e-15	2.1705344790e-21	1.0673332344e-04	5.9022145305e-18	-1.8224714460e+04
1.0471285481e-12	-1.7930336209e+04	-1.4703361695e+02	5.8604776919e-78	7.3248083187e-40	0.0000000000e+00	1.6666799614e-71	3.1590482984e-41	5.9213798170e-31	2.6065621572e-35	7.6885411432e-49	6.2502787061e-41	7.9170748583e-57	1.1568952389e-62	9.0366374389e-53	1.4472261935e-71	0.0000000000e+00	1.0921851507e-04	1.7930336100e+04	4.0851583143e-29	2.9406723390e+02	5.8823858649e-40	1.4096170916e-25	1.6692932670e-42	2.1845942712e-15	2.3257406951e-21	1.0921851507e-04	6.1802727431e-18	-1.8224403553e+04
1.0715193052e-12	-1.7930018063e+04	-1.4703361682e+02	7.2633009735e-78	8.3029444854e-40	0.0000000000e+00	2.0531642117e-71	3.5920546115e-41	6.2004091774e-31	2.8528665811e-35	8.7585020350e-49	6.9462449705e-41	9.2371983255e-57	1.3766006276e-62	1.0514618544e-52	1.7343004869e-71	0.0000000000e+00	1.1176154963e-04	1.7930017951e+04	4.3772691528e-29	2.9406723364e+02	6.5156010425e-40	1.5069879713e-25	1.8677596535e-42	2.2875307330e-15	2.4920443640e-21	1.1176154963e-04	6.4714279574e-18	-1.8224085408e+04
1.0964781961e-12	-1.7929692512e+04	-1.4703361668e+02	9.0098846206e-78	9.4114748349e-40	0.0000000000e+00	2.5265758040e-71	4.0844402126e-41	6.4925861639e-31	3.1223111568e-35	9.9775334577e-49	7.7177833350e-41	1.0778431474e-56	1.6386026605e-62	1.2234412878e-52	2.0832868461e-71	0.0000000000e+00	1.1436377237e-04	1.7929692397e+04	4.6902660720e-29	2.9406723337e+02	7.2150138752e-40	1.6110049878e-25	2.0896663835e-42	2.3953169896e-15	2.6702388987e-21	1.1436377237e-04	6.7762968816e-18	-1.8223759859e+04
1.1220184543e-12	-1.7929359383e+04	-1.4703361655e+02	1.1185404209e-77	1.0667410679e-39	0.0000000000e+00	3.1080909279e-71	4.6441841863e-41	6.7985302175e-31	3.4170556966e-35	1.1366098515e-48	8.5729794458e-41	1.2577520523e-56	1.9510363402e-62	1.4235083636e-52	2.5060069079e-71	0.0000000000e+00	1.1702655974e-04	1.7929359266e+04	5.0256423008e-29	2.9406723310e+02	7.9875975194e-40	1.7221144261e-25	2.3377638844e-42	2.5081815011e-15	2.8611744310e-21	1.1702655974e-04	7.0955252500e-18	-1.8223426734e+04
1.1481536215e-12	-1.7929018502e+04	-1.4703361641e+02	1.3897028502e-77	1.2090034208e-39	0.0000000000e+00	3.8243840426e-71	5.2803473313e-41	7.1188899593e-31	3.7394593108e-35	1.2947492800e-48	9.5207376951e-41	1.4677354561e-56	2.3236201382e-62	1.6562011302e-52	3.0163249072e-71	0.0000000000e+00	1.1975132019e-04	1.7929018382e+04	5.3849978119e-29	2.9406723282e+02	8.8409803581e-40	1.8407919097e-25	2.6151214433e-42	2.6263634870e-15	3.0657618647e-21	1.1975132019e-04	7.4297891887e-18	-1.8223085855e+04
1.1748975549e-12	-1.7928669687e+04	-1.4703361626e+02	1.7278179151e-77	1.3701156983e-39	0.0000000000e+00	4.7073415683e-71	6.0032085466e-41	7.4543445643e-31	4.0920988841e-35	1.4748215147e-48	1.0570869289e-40	1.7127963293e-56	2.7679447908e-62	1.9267883646e-52	3.6318168036e-71	0.0000000000e+00	1.2253949482e-04	1.7928669565e+04	5.7700469511e-29	2.9406723253e+02	9.7835444484e-40	1.9675442556e-25	2.9251642341e-42	2.7501134330e-15	3.2849772198e-21	1.2253949482e-04	7.7797966445e-18	-1.8222737042e+04
1.2022644346e-12	-1.7928312754e+04	-1.4703361612e+02	2.1494872204e-77	1.5525407841e-39	0.0000000000e+00	5.7955121648e-71	6.8244061505e-41	7.8056052009e-31	4.4777893685e-35	1.6798362944e-48	1.1734202333e-40	1.9987637915e-56	3.2978157445e-62	2.2413797726e-52	4.3742172832e-71	0.0000000000e+00	1.2539255823e-04	1.7928312629e+04	6.1826266116e-29	2.9406723224e+02	1.0824538089e-39	2.1029114340e-25	3.2717150293e-42	2.8796936214e-15	3.5198662866e-21	1.2539255823e-04	8.1462888819e-18	-1.8222380112e+04
1.2302687708e-12	-1.7927947515e+04	-1.4703361597e+02	2.6754291764e-77	1.7590592008e-39	0.0000000000e+00	7.1365246468e-71	7.7571086025e-41	8.1734165372e-31	4.8996056082e-35	1.9132103532e-48	1.3022690763e-40	2.3324266811e-56	3.9296740095e-62	2.6070565555e-52	5.2694878700e-71	0.0000000000e+00	1.2831201922e-04	1.7927947387e+04	6.6247049926e-29	2.9406723194e+02	1.1974166069e-39	2.2474686629e-25	3.6590400890e-42	3.0153786864e-15	3.7715496118e-21	1.2831201922e-04	8.5300420496e-18	-1.8222014875e+04
1.2589254118e-12	-1.7927573776e+04	-1.4703361581e+02	3.3315360226e-77	1.9928116501e-39	0.0000000000e+00	8.7894957399e-71	8.8162193645e-41	8.5585583188e-31	5.3609058883e-35	2.1788233361e-48	1.4449520751e-40	2.7216927511e-56	4.6831051778e-62	3.0320263172e-52	6.3484381037e-71	0.0000000000e+00	1.3129942162e-04	1.7927573644e+04	7.0983909839e-29	2.9406723163e+02	1.3243668454e-39	2.4018286439e-25	4.0918997004e-42	3.1574561952e-15	4.0412278417e-21	1.3129942162e-04	8.9318688214e-18	-1.8221641139e+04
1.2882495517e-12	-1.7927191339e+04	-1.4703361566e+02	4.1501488069e-77	2.2573462351e-39	0.0000000000e+00	1.0827336914e-70	1.0018608791e-40	8.9618470206e-31	5.8653576225e-35	2.4810812968e-48	1.6029226357e-40	3.1757742560e-56	5.5814424191e-62	3.5258026132e-52	7.6480178012e-71	0.0000000000e+00	1.3435634508e-04	1.7927191205e+04	7.6059442209e-29	2.9406723131e+02	1.4645414057e-39	2.5666439304e-25	4.5756044162e-42	3.3062272574e-15	4.3301874472e-21	1.3435634508e-04	9.3526201129e-18	-1.8221258705e+04
1.3182567386e-12	-1.7926800003e+04	-1.4703361550e+02	5.1716288485e-77	2.5566701056e-39	0.0000000000e+00	1.3339561644e-70	1.1383369152e-40	9.3841375764e-31	6.4169654919e-35	2.8249872997e-48	1.7777823109e-40	3.7054017575e-56	6.6524772448e-62	4.0994103627e-52	9.2128444714e-71	0.0000000000e+00	1.3748440593e-04	1.7926799865e+04	8.1497858578e-29	2.9406723099e+02	1.6193018670e-39	2.7426094314e-25	5.1160779381e-42	3.4620071623e-15	4.6398068571e-21	1.3748440593e-04	9.7931868805e-18	-1.8220867371e+04
1.3489628826e-12	-1.7926399560e+04	-1.4703361533e+02	6.4463865031e-77	2.8953075124e-39	0.0000000000e+00	1.6436276928e-70	1.2932099605e-40	9.8263251904e-31	7.0201021369e-35	3.2162208736e-48	1.9712956968e-40	4.3230723920e-56	7.9293121363e-62	4.7656222374e-52	1.1096626421e-70	0.0000000000e+00	1.4068525798e-04	1.7926399419e+04	8.7325101107e-29	2.9406723066e+02	1.7901476624e-39	2.9304650621e-25	5.7199270955e-42	3.6251260462e-15	4.9715630303e-21	1.4068525798e-04	1.0254502004e-17	-1.8220466931e+04
1.3803842646e-12	-1.7925989799e+04	-1.4703361516e+02	8.0372799089e-77	3.2783651516e-39	0.0000000000e+00	2.0252887010e-70	1.4689223693e-40	1.0289347233e-30	7.6795416610e-35	3.6612272845e-48	2.1854071509e-40	5.0433355315e-56	9.4513480363e-62	5.5392302124e-52	1.3363819027e-70	0.0000000000e+00	1.4396059343e-04	1.7925989655e+04	9.3568966260e-29	2.9406723033e+02	1.9787306319e-39	3.1309985486e-25	6.3945201112e-42	3.7959295913e-15	5.3270384973e-21	1.4396059343e-04	1.0737542256e-17	-1.8220057173e+04
1.4125375446e-12	-1.7925570503e+04	-1.4703361499e+02	1.0022714622e-76	3.7116070578e-39	0.0000000000e+00	2.4955938427e-70	1.6682355024e-40	1.0774185226e-30	8.4004959665e-35	4.1673202261e-48	2.4222582439e-40	5.8831287499e-56	1.1265483211e-61	6.4373619341e-52	1.6091756134e-70	0.0000000000e+00	1.4731214374e-04	1.7925570355e+04	1.0025923731e-28	2.9406722998e+02	2.1868697734e-39	3.3450484089e-25	7.1480730832e-42	3.9747797575e-15	5.7079289052e-21	1.4731214374e-04	1.1243330369e-17	-1.8219637880e+04
1.4454397707e-12	-1.7925141450e+04	-1.4703361481e+02	1.2500524098e-76	4.2015389146e-39	0.0000000000e+00	3.0750325154e-70	1.8942709585e-40	1.1281866923e-30	9.1886543215e-35	4.7427981709e-48	2.6842068011e-40	6.8621687332e-56	1.3427541272e-61	7.4798461814e-52	1.9373194255e-70	0.0000000000e+00	1.5074168052e-04	1.7925141300e+04	1.0742782635e-28	2.9406722963e+02	2.4165675107e-39	3.5735071101e-25	7.9897460985e-42	4.1620555487e-15	6.1160511009e-21	1.5074168052e-04	1.1772937192e-17	-1.8219208831e+04
1.4791083882e-12	-1.7924702415e+04	-1.4703361463e+02	1.5592778031e-76	4.7555025707e-39	0.0000000000e+00	3.7888031771e-70	2.1505567787e-40	1.1813468485e-30	1.0050226494e-34	5.3970756151e-48	2.9738479709e-40	8.0034045336e-56	1.6003962318e-61	8.6896338407e-52	2.3319395372e-70	0.0000000000e+00	1.5425101650e-04	1.7924702260e+04	1.1510892636e-28	2.9406722927e+02	2.6700280247e-39	3.8173244084e-25	8.9297502269e-42	4.3581538146e-15	6.5533517929e-21	1.5425101650e-04	1.2327483954e-17	-1.8218769798e+04
1.5135612484e-12	-1.7924253163e+04	-1.4703361445e+02	1.9451750328e-76	5.3817822599e-39	0.0000000000e+00	4.6678807694e-70	2.4410792976e-40	1.2370116760e-30	1.0991989754e-34	6.1408312872e-48	3.2940374427e-40	9.3335433364e-56	1.9073807222e-61	1.0093282960e-51	2.8063819525e-70	0.0000000000e+00	1.5784200643e-04	1.7924253006e+04	1.2333917427e-28	2.9406722890e+02	2.9496776456e-39	4.0775108838e-25	9.9794665591e-42	4.5634900912e-15	7.0219168308e-21	1.5784200643e-04	1.2908144633e-17	-1.8218320550e+04
1.5488166189e-12	-1.7923793460e+04	-1.4703361426e+02	2.4267353546e-76	6.0897243140e-39	0.0000000000e+00	5.7503287051e-70	2.7703414914e-40	1.2952991671e-30	1.2021340038e-34	6.9861758474e-48	3.6479168411e-40	1.0883661125e-55	2.2731138125e-61	1.1721518169e-51	3.3766510513e-70	0.0000000000e+00	1.6151654808e-04	1.7923793298e+04	1.3215782556e-28	2.9406722852e+02	3.2581871969e-39	4.3551416810e-25	1.1151578501e-41	4.7784994795e-15	7.5239811487e-21	1.6151654808e-04	1.3516148435e-17	-1.8217860850e+04
1.5848931925e-12	-1.7923323060e+04	-1.4703361407e+02	3.0276411254e-76	6.8898721535e-39	0.0000000000e+00	7.0829119819e-70	3.1434286897e-40	1.3563328712e-30	1.3146347640e-34	7.9468417576e-48	4.0389414134e-40	1.2689912275e-55	2.7087847924e-61	1.3609876008e-51	4.0619315005e-70	0.0000000000e+00	1.6527658324e-04	1.7923322895e+04	1.4160694138e-28	2.9406722814e+02	3.5984963891e-39	4.6513604680e-25	1.2460218717e-41	5.0036375670e-15	8.0619394186e-21	1.6527658324e-04	1.4152782386e-17	-1.8217390453e+04
