Time            	CO2             	H2              	CH4             	H2O             	CO              	CH3OH           	CH2O            	C*              	CH*             	CH2*            	CH2O*           	CH2OH*          	CH3*            	CH3O*           	CH3OH*          	CH4*            	CO*             	CO2*            	COH*            	H*              	H2O*            	HCO*            	HCOH*           	HCOO*           	OH*             	O*              	COOH*           	*               
0.0000000000e+00	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00
1.0000000000e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.8002505830e-43	4.4282511367e-48	9.1080863287e-62	9.0761989172e-54	7.8636519402e-70	1.0008444159e-75	9.1407117119e-66	1.1057580991e-84	0.0000000000e+00	5.2158654257e-17	1.7937474960e-08	8.8963895935e-42	2.9406723976e-10	8.8071595265e-53	3.1411072317e-38	2.2991426399e-55	6.6419634068e-28	5.0648317900e-34	5.2158654260e-17	1.8792216675e-30	9.9999998177e-01
1.0232929923e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.9289950827e-43	4.9587176984e-48	1.0582383778e-61	1.0319144553e-53	9.3257751052e-70	1.2079063921e-75	1.0816722990e-65	1.3583155043e-84	0.0000000000e+00	5.4616507441e-17	1.8355136937e-08	9.7545850947e-42	3.0091694558e-10	9.9825149128e-53	3.4382124166e-38	2.6278886197e-55	7.1169467954e-28	5.5534149161e-34	5.4616507445e-17	2.0135973227e-30	9.9999998134e-01
1.0471285481e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0669465112e-43	5.5528591626e-48	1.2300863810e-61	1.1733025333e-53	1.1074691326e-69	1.4610507059e-75	1.2815567270e-65	1.6739894400e-84	0.0000000000e+00	5.7190173620e-17	1.8782520184e-08	1.0695565944e-41	3.0792620154e-10	1.1315328321e-52	3.7632631162e-38	3.0042771292e-55	7.6258963035e-28	6.0891290794e-34	5.7190173624e-17	2.1575810222e-30	9.9999998091e-01
1.0715193052e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.2147632657e-43	6.2183240999e-48	1.4304386259e-61	1.3341242552e-53	1.3163948088e-69	1.7695701735e-75	1.5196800545e-65	2.0622076194e-84	0.0000000000e+00	5.9885109314e-17	1.9219850795e-08	1.1727317737e-41	3.1509872403e-10	1.2826340830e-52	4.1188689179e-38	3.4352751900e-55	8.1712407435e-28	6.6765206260e-34	5.9885109318e-17	2.3118596946e-30	9.9999998047e-01
1.0964781961e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3731508241e-43	6.9636286531e-48	1.6639988524e-61	1.5170000031e-53	1.5658028767e-69	2.1451308275e-75	1.8031641684e-65	2.5377278933e-84	0.0000000000e+00	6.2707028089e-17	1.9667360112e-08	1.2858596233e-41	3.2243831603e-10	1.4538785978e-52	4.5078836666e-38	3.9287501099e-55	8.7555825944e-28	7.3205743720e-34	6.2707028093e-17	2.4771693741e-30	9.9999998001e-01
1.1220184543e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.5428651114e-43	7.7983003387e-48	1.9362503531e-61	1.7248932399e-53	1.8635487919e-69	2.6024750771e-75	2.1406301867e-65	3.1218221864e-84	0.0000000000e+00	6.5661912662e-17	2.0125284849e-08	1.4099001742e-41	3.2994886909e-10	1.6478942247e-52	4.9334256274e-38	4.4936830467e-55	9.3817104178e-28	8.0267559535e-34	6.5661912666e-17	2.6542987116e-30	9.9999997954e-01
1.1481536215e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.7247161072e-43	8.7330140530e-48	2.2536002259e-61	1.9611691947e-53	2.2190848636e-69	3.1597814080e-75	2.5424069794e-65	3.8412905010e-84	0.0000000000e+00	6.8756027578e-17	2.0593867215e-08	1.5459060607e-41	3.3763436539e-10	1.8676596438e-52	5.3989008033e-38	5.1403695627e-55	1.0052612163e-27	8.8010582192e-34	6.8756027583e-17	2.8440927343e-30	9.9999997907e-01
1.1748975549e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9195717106e-43	9.7797214490e-48	2.6235163796e-61	2.2296455415e-53	2.6436708576e-69	3.8391333291e-75	3.0207552575e-65	4.7281624654e-84	0.0000000000e+00	7.1995932482e-17	2.1073355045e-08	1.6950314505e-41	3.4549887989e-10	2.1165442959e-52	5.9080296101e-38	5.8805992983e-55	1.0771489421e-27	9.6500520674e-34	7.1995932487e-17	3.0474568759e-30	9.9999997858e-01
1.2022644346e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.1283618814e-43	1.0951791837e-47	3.0546862818e-61	2.5346448649e-53	3.1507014567e-69	4.6673473215e-75	3.5902056866e-65	5.8211544303e-84	0.0000000000e+00	7.5388496016e-17	2.1564001925e-08	1.8585418340e-41	3.5354658245e-10	2.3983528312e-52	6.4648761775e-38	6.7278479113e-55	1.1541772701e-27	1.0580942183e-33	7.5388496022e-17	3.2653612937e-30	9.9999997808e-01
1.2302687708e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.3520830783e-43	1.2264177617e-47	3.5572147383e-61	2.8810580458e-53	3.7561512625e-69	5.6771272685e-75	4.2680155359e-65	7.1681035668e-84	0.0000000000e+00	7.8940910373e-17	2.2066067327e-08	2.0378247617e-41	3.6178174008e-10	2.7173805723e-52	7.0738798588e-38	7.6975102765e-55	1.2367137794e-27	1.1601628166e-33	7.8940910379e-17	3.4988454943e-30	9.9999997757e-01
1.2589254118e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.5918030128e-43	1.3733605382e-47	4.1428613769e-61	3.2744203478e-53	4.4791002748e-69	6.9084326297e-75	5.0747077724e-65	8.8283887808e-84	0.0000000000e+00	8.2660706532e-17	2.2579816747e-08	2.2344016169e-41	3.7020871917e-10	3.0784792376e-52	7.7398892304e-38	8.8071808136e-55	1.3251523311e-27	1.2720771557e-33	8.2660706539e-17	3.7490232903e-30	9.9999997705e-01
1.2882495517e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.8486657447e-43	1.5378788792e-47	4.8253139846e-61	3.7209975552e-53	5.3423289557e-69	8.4100482504e-75	6.0346799063e-65	1.0875245852e-83	0.0000000000e+00	8.6555770215e-17	2.3105521842e-08	2.4499405249e-41	3.7883198780e-10	3.4871299010e-52	8.4681991775e-38	1.0076974009e-54	1.4199149474e-27	1.3947869333e-33	8.6555770222e-17	4.0170881106e-30	9.9999997652e-01
1.3182567386e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.1238971408e-43	1.7220662551e-47	5.6205002562e-61	4.2278806978e-53	6.3730117922e-69	1.0241461944e-74	7.1769092184e-65	1.3398584580e-83	0.0000000000e+00	9.0634358587e-17	2.3643460572e-08	2.6862705047e-41	3.8765611816e-10	3.9495227744e-52	9.2645915199e-38	1.1529882657e-54	1.5214538245e-27	1.5293334477e-33	9.0634358595e-17	4.3043186907e-30	9.9999997597e-01
1.3489628826e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.4188107241e-43	1.9282642965e-47	6.5469559044e-61	4.8030918865e-53	7.6035811139e-69	1.2475292031e-74	8.5358229225e-65	1.6508997811e-83	0.0000000000e+00	9.4905117756e-17	2.4193917349e-08	2.9453969859e-41	3.9668578890e-10	4.4726468819e-52	1.0135379324e-37	1.3192187155e-54	1.6302534902e-27	1.6768584321e-33	9.4905117764e-17	4.6120851686e-30	9.9999997541e-01
1.3803842646e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.7348139417e-43	2.1590917446e-47	7.6262307985e-61	5.4557022309e-53	9.0726884303e-69	1.5199987788e-74	1.0152266797e-64	2.0342487885e-83	0.0000000000e+00	9.9377101079e-17	2.4757183183e-08	3.2295188227e-41	4.0592578769e-10	5.0643910021e-52	1.1087455276e-37	1.5093908732e-54	1.7468331151e-27	1.8386137408e-33	9.9377101088e-17	4.9418556179e-30	9.9999997484e-01
1.4125375446e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.0734148798e-43	2.4174772023e-47	8.8833817439e-61	6.1959676543e-53	1.0826413409e-68	1.8523339018e-74	1.2074713269e-64	2.5066337850e-83	0.0000000000e+00	1.0405978835e-16	2.5333555837e-08	3.5410469487e-41	4.1538101369e-10	5.7336593635e-52	1.2128344140e-37	1.7269343396e-54	1.8717489896e-27	2.0159719703e-33	1.0405978836e-16	5.2952030456e-30	9.9999997425e-01
1.4454397707e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.4362294599e-43	2.7066957308e-47	1.0347546454e-60	7.0354820341e-53	1.2919708540e-68	2.2576774897e-74	1.4360695875e-64	3.0886347915e-83	0.0000000000e+00	1.0896310586e-16	2.5923339978e-08	3.8826248300e-41	4.2505648018e-10	6.4905018889e-52	1.3266259884e-37	1.9757672494e-54	2.0055971770e-27	2.2104381036e-33	1.0896310587e-16	5.6738128917e-30	9.9999997365e-01
1.4791083882e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.8249891490e-43	3.0304096025e-47	1.2052604693e-60	7.9873488098e-53	1.5418102525e-68	2.7520540426e-74	1.7078491416e-64	3.8055616814e-83	0.0000000000e+00	1.1409744745e-16	2.6526847344e-08	4.2571508909e-41	4.3495731722e-10	7.3462602020e-52	1.4510167957e-37	2.2603654937e-54	2.1490163574e-27	2.4236622781e-33	1.1409744746e-16	6.0794910635e-30	9.9999997304e-01
1.5135612484e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.2415492203e-43	3.3927137296e-47	1.4037941642e-60	9.0663735612e-53	1.8399716443e-68	3.3549954837e-74	2.0309099874e-64	4.6885263243e-83	0.0000000000e+00	1.1947369651e-16	2.7144396900e-08	4.6678031025e-41	4.4508877438e-10	8.3137317164e-52	1.5869853145e-37	2.5858413422e-54	2.3026908742e-27	2.6574537843e-33	1.1947369652e-16	6.5141725440e-30	9.9999997241e-01
1.5488166189e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.6878976061e-43	3.7981863910e-47	1.6349333423e-60	1.0289280718e-52	2.1957664266e-68	4.0903029517e-74	2.4148587771e-64	5.7757603958e-83	0.0000000000e+00	1.2510324902e-16	2.7776315012e-08	5.1180659422e-41	4.5545622347e-10	9.4073545649e-52	1.7355993447e-37	2.9580330689e-54	2.4673539980e-27	2.9137964147e-33	1.2510324903e-16	6.9799306160e-30	9.9999997177e-01
1.5848931925e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	7.1661643821e-43	4.2519459052e-47	1.9039975986e-60	1.1674957620e-52	2.6202915819e-68	4.9869759371e-74	2.8710865885e-64	7.1142356344e-83	0.0000000000e+00	1.3099803770e-16	2.8422935610e-08	5.6117599523e-41	4.6606516146e-10	1.0643416133e-51	1.8980240475e-37	3.3836072535e-54	2.6437914253e-27	3.1948652928e-33	1.3099803771e-16	7.4789867439e-30	9.9999997111e-01
1.6218100974e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	7.6786319302e-43	4.7597139177e-47	2.2171679479e-60	1.3244729154e-52	3.1267707057e-68	6.0803440190e-74	3.4130977464e-64	8.7616505648e-83	0.0000000000e+00	1.3717055728e-16	2.9084600371e-08	6.1530741500e-41	4.7692121335e-10	1.2040287999e-51	2.0755306943e-37	3.8701754635e-54	2.8328450251e-27	3.5030453247e-33	1.3717055730e-16	8.0137211626e-30	9.9999997044e-01
1.6595869074e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	8.2277458285e-43	5.3278860367e-47	2.5816253041e-60	1.5022666477e-52	3.7309596706e-68	7.4134433271e-74	4.0568985220e-64	1.0788862493e-82	0.0000000000e+00	1.4363389096e-16	2.9761658889e-08	6.7466015618e-41	4.8803013515e-10	1.3618690420e-51	2.2695061896e-37	4.4264271990e-54	3.0354168554e-27	3.8409514301e-33	1.4363389098e-16	8.5866842223e-30	9.9999996975e-01
1.6982436525e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	8.8161265187e-43	5.9636106530e-47	3.0057109692e-60	1.7035933922e-52	4.4516289927e-68	9.0386899494e-74	4.8214563938e-64	1.3282864740e-82	0.0000000000e+00	1.5040173811e-16	3.0454468865e-08	7.3973781845e-41	4.9939781697e-10	1.5401990045e-51	2.4814634320e-37	5.0622813050e-54	3.2524734650e-27	4.2114507244e-33	1.5040173813e-16	9.2006085436e-30	9.9999996905e-01
1.7378008287e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.4465818087e-43	6.6748768955e-47	3.4991126506e-60	1.9315178750e-52	5.3111375165e-68	1.1019914774e-73	5.7292427330e-64	1.6350433214e-82	0.0000000000e+00	1.5748844327e-16	3.1163396290e-08	8.1109257030e-41	5.1103028610e-10	1.7416535101e-51	2.7130525882e-37	5.7890584284e-54	3.4850505045e-27	4.6176868390e-33	1.5748844329e-16	9.8584220407e-30	9.9999996833e-01
1.7782794100e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0122120268e-42	7.4706132624e-47	4.0730849916e-60	2.1894971954e-52	6.3361386363e-68	1.3434949663e-73	6.8068945135e-64	2.0122757340e-82	0.0000000000e+00	1.6490902656e-16	3.1888815639e-08	8.8932983269e-41	5.2293371022e-10	1.9692035403e-51	2.9660733279e-37	6.6196801813e-54	3.7342576649e-27	5.0631065869e-33	1.6490902658e-16	1.0563261876e-29	9.9999996759e-01
1.8197008586e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0845965581e-42	8.3607962122e-47	4.7406904400e-60	2.4814294117e-52	7.5583488533e-68	1.6378441935e-73	8.0859346419e-64	2.4760634431e-82	0.0000000000e+00	1.7267921545e-16	3.2631110063e-08	9.7511341442e-41	5.3511440069e-10	2.2261981693e-51	3.2424882130e-37	7.5688876802e-54	4.0012839712e-27	5.5514892006e-33	1.7267921547e-16	1.1318489408e-29	9.9999996683e-01
1.8620871367e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.1621571926e-42	9.3565725095e-47	5.5170902880e-60	2.8117088979e-52	9.0155186160e-68	1.9965533407e-73	9.6036721719e-64	3.0461111402e-82	0.0000000000e+00	1.8081547807e-16	3.3390671591e-08	1.0691711426e-40	5.4757881588e-10	2.5164125285e-51	3.5444371912e-37	8.6534971978e-54	4.2874034526e-27	6.0869783880e-33	1.8081547809e-16	1.2127706212e-29	9.9999996606e-01
1.9054607180e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.2452640458e-42	1.0470395834e-46	6.4198833156e-60	3.1852885327e-52	1.0752594731e-67	2.4336378138e-73	1.1404271759e-63	3.7465860734e-82	0.0000000000e+00	1.8933505807e-16	3.4167901335e-08	1.1723010361e-40	5.6033356456e-10	2.8441018526e-51	3.8742533450e-37	9.8926919191e-54	4.5939812192e-27	6.6741174794e-33	1.8933505809e-16	1.2994771243e-29	9.9999996527e-01
