Time            	CO2             	H2              	CH4             	H2O             	CO              	CH3OH           	CH2O            	C*              	CH*             	CH2*            	CH2O*           	CH2OH*          	CH3*            	CH3O*           	CH3OH*          	CH4*            	CO*             	CO2*            	COH*            	H*              	H2O*            	HCO*            	HCOH*           	HCOO*           	OH*             	O*              	COOH*           	*               
0.0000000000e+00	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00
1.0000000000e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.8002505831e-43	4.4282689513e-48	9.1082828665e-62	9.0762568613e-54	7.8637590991e-70	1.0008555110e-75	9.1408356551e-66	1.1057228939e-84	0.0000000000e+00	5.2158654260e-17	1.7937474960e-08	8.8963900205e-42	2.9406723976e-10	8.8071921722e-53	3.1411063771e-38	2.2991672000e-55	6.6419634067e-28	5.0648320334e-34	5.2158654260e-17	1.8792216675e-30	9.9999998177e-01
1.0232929923e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.9289950828e-43	4.9587354121e-48	1.0582586728e-61	1.0319199530e-53	9.3258695252e-70	1.2079143230e-75	1.0816833165e-65	1.3582619525e-84	0.0000000000e+00	5.4616507445e-17	1.8355136937e-08	9.7545855218e-42	3.0091694558e-10	9.9825432408e-53	3.4382115679e-38	2.6279131764e-55	7.1169467953e-28	5.5534151595e-34	5.4616507445e-17	2.0135973226e-30	9.9999998134e-01
1.0471285481e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0669465113e-43	5.5528766828e-48	1.2301073703e-61	1.1733076116e-53	1.1074794907e-69	1.4610625274e-75	1.2815684466e-65	1.6739507609e-84	0.0000000000e+00	5.7190173624e-17	1.8782520184e-08	1.0695566371e-41	3.0792620154e-10	1.1315352341e-52	3.7632622785e-38	3.0043013576e-55	7.6258963034e-28	6.0891293227e-34	5.7190173624e-17	2.1575810222e-30	9.9999998091e-01
1.0715193052e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.2147632658e-43	6.2183414616e-48	1.4304603562e-61	1.3341289350e-53	1.3164067531e-69	1.7695881733e-75	1.5196930939e-65	2.0621901325e-84	0.0000000000e+00	5.9885109318e-17	1.9219850795e-08	1.1727318164e-41	3.1509872403e-10	1.2826361367e-52	4.1188680893e-38	3.4352991082e-55	8.1712407434e-28	6.6765208692e-34	5.9885109318e-17	2.3118596945e-30	9.9999998047e-01
1.0964781961e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3731508242e-43	6.9636458913e-48	1.6640213085e-61	1.5170043354e-53	1.5658161673e-69	2.1451545743e-75	1.8031782575e-65	2.5377239488e-84	0.0000000000e+00	6.2707028093e-17	1.9667360112e-08	1.2858596660e-41	3.2243831603e-10	1.4538803726e-52	4.5078828452e-38	3.9287737999e-55	8.7555825943e-28	7.3205746153e-34	6.2707028093e-17	2.4771693741e-30	9.9999998001e-01
1.1220184543e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.5428651115e-43	7.7983174489e-48	1.9362734882e-61	1.7248972470e-53	1.8635631568e-69	2.6025041440e-75	2.1406450149e-65	3.1218258809e-84	0.0000000000e+00	6.5661912666e-17	2.0125284849e-08	1.4099002168e-41	3.2994886909e-10	1.6478957536e-52	4.9334248133e-38	4.4937065184e-55	9.3817104177e-28	8.0267561968e-34	6.5661912666e-17	2.6542987115e-30	9.9999997954e-01
1.1481536215e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.7247161073e-43	8.7330310150e-48	2.2536240018e-61	1.9611728772e-53	2.2191003267e-69	3.1598163169e-75	2.5424225196e-65	3.8413020164e-84	0.0000000000e+00	6.8756027583e-17	2.0593867215e-08	1.5459061034e-41	3.3763436539e-10	1.8676609467e-52	5.3988999977e-38	5.1403927753e-55	1.0052612163e-27	8.8010584625e-34	6.8756027583e-17	2.8440927342e-30	9.9999997907e-01
1.1748975549e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9195717107e-43	9.7797382538e-48	2.6235407756e-61	2.2296489038e-53	2.6436875769e-69	3.8391750008e-75	3.0207716142e-65	4.7281837595e-84	0.0000000000e+00	7.1995932487e-17	2.1073355045e-08	1.6950314932e-41	3.4549887989e-10	2.1165453998e-52	5.9080288136e-38	5.8806222227e-55	1.0771489421e-27	9.6500523106e-34	7.1995932487e-17	3.0474568759e-30	9.9999997858e-01
1.2022644346e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.1283618816e-43	1.0951808489e-47	3.0547112813e-61	2.5346479244e-53	3.1507195067e-69	4.6673964110e-75	3.5902228846e-65	5.8211852869e-84	0.0000000000e+00	7.5388496022e-17	2.1564001925e-08	1.8585418767e-41	3.5354658245e-10	2.3983537694e-52	6.4648753898e-38	6.7278705488e-55	1.1541772701e-27	1.0580942426e-33	7.5388496022e-17	3.2653612936e-30	9.9999997808e-01
1.2302687708e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.3520830785e-43	1.2264194121e-47	3.5572403182e-61	2.8810608233e-53	3.7561706076e-69	5.6771841169e-75	4.2680334913e-65	7.1681420303e-84	0.0000000000e+00	7.8940910379e-17	2.2066067327e-08	2.0378248043e-41	3.6178174008e-10	2.7173813735e-52	7.0738790797e-38	7.6975326373e-55	1.2367137794e-27	1.1601628409e-33	7.8940910379e-17	3.4988454942e-30	9.9999997757e-01
1.2589254118e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.5918030130e-43	1.3733621735e-47	4.1428875095e-61	3.2744228589e-53	4.4791208710e-69	6.9084975994e-75	5.0747263900e-65	8.8284335801e-84	0.0000000000e+00	8.2660706539e-17	2.2579816747e-08	2.2344016596e-41	3.7020871917e-10	3.0784799216e-52	7.7398884600e-38	8.8072028952e-55	1.3251523311e-27	1.2720771800e-33	8.2660706539e-17	3.7490232903e-30	9.9999997705e-01
1.2882495517e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.8486657449e-43	1.5378804988e-47	4.8253406441e-61	3.7209998102e-53	5.3423508196e-69	8.4101219282e-75	6.0346991469e-65	1.0875297304e-83	0.0000000000e+00	8.6555770222e-17	2.3105521842e-08	2.4499405675e-41	3.7883198780e-10	3.4871304829e-52	8.4681984161e-38	1.0076995798e-54	1.4199149474e-27	1.3947869576e-33	8.6555770222e-17	4.0170881106e-30	9.9999997652e-01
1.3182567386e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.1238971410e-43	1.7220678588e-47	5.6205274213e-61	4.2278827076e-53	6.3730349764e-69	1.0241545050e-74	7.1769290772e-65	1.3398643482e-83	0.0000000000e+00	9.0634358595e-17	2.3643460572e-08	2.6862705473e-41	3.8765611816e-10	3.9495232696e-52	9.2645907678e-38	1.1529904140e-54	1.5214538245e-27	1.5293334720e-33	9.0634358595e-17	4.3043186906e-30	9.9999997597e-01
