Time            	CO2             	H2              	CH4             	H2O             	CO              	CH3OH           	CH2O            	C*              	CH*             	CH2*            	CH2O*           	CH2OH*          	CH3*            	CH3O*           	CH3OH*          	CH4*            	CO*             	CO2*            	COH*            	H*              	H2O*            	HCO*            	HCOH*           	HCOO*           	OH*             	O*              	COOH*           	*               
0.0000000000e+00	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00
1.0000000000e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.8680062906e-39	5.1699135119e-45	5.7308781436e-59	1.2470784835e-52	4.2285838234e-68	7.5671603958e-73	8.2509080803e-65	5.5061672173e-83	0.0000000000e+00	6.6563123663e-17	1.6548938258e-09	4.7346650574e-40	5.9314275873e-11	2.8744397040e-51	4.6675009119e-37	1.0933806064e-53	3.0607326027e-28	2.7388716050e-33	6.6563123663e-17	1.8879439094e-30	9.9999999829e-01
1.0232929923e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0015948580e-39	5.7874268669e-45	6.6800297555e-59	1.4067048298e-52	5.0283697350e-68	9.1966233381e-73	9.7439239735e-65	6.7224508191e-83	0.0000000000e+00	6.9699685308e-17	1.6934244278e-09	5.1912885001e-40	6.0695882841e-11	3.2530753051e-51	5.1036487209e-37	1.2505059425e-53	3.2796096039e-28	3.0030206735e-33	6.9699685308e-17	2.0228892246e-30	9.9999999825e-01
1.0471285481e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.1447366275e-39	6.4783397478e-45	7.7868325592e-59	1.5863933766e-52	5.9810060000e-68	1.1186090174e-72	1.1507448264e-64	8.2235778804e-83	0.0000000000e+00	7.2984035531e-17	1.7328517299e-09	5.6919467930e-40	6.2109671569e-11	3.6810021669e-51	5.5802273301e-37	1.4300994511e-53	3.5141381756e-28	3.2926437982e-33	7.2984035531e-17	2.1674781056e-30	9.9999999821e-01
1.0715193052e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.2981147449e-39	7.2513122549e-45	9.0775244508e-59	1.7886262781e-52	7.1159029802e-68	1.3616538503e-72	1.3590383290e-64	1.0074734718e-82	0.0000000000e+00	7.6423137034e-17	1.7731965818e-09	6.2408868253e-40	6.3556391666e-11	4.1645721180e-51	6.1009501266e-37	1.6353526759e-53	3.7654374795e-28	3.6101978705e-33	7.6423137034e-17	2.3223995174e-30	9.9999999816e-01
1.0964781961e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4624612053e-39	8.1160621190e-45	1.0582382655e-58	2.0162211242e-52	8.4673516151e-68	1.6583720186e-72	1.6049501873e-64	1.2346702895e-82	0.0000000000e+00	8.0024280488e-17	1.8144803167e-09	6.8427632150e-40	6.5036810204e-11	4.7109904594e-51	6.6698604067e-37	1.8699107657e-53	4.0347066971e-28	3.9583756696e-33	8.0024280488e-17	2.4883916295e-30	9.9999999812e-01
1.1220184543e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.6385603457e-39	9.0834563559e-45	1.2336622235e-58	2.2723412166e-52	1.0075996693e-67	2.0203852821e-72	1.8951495094e-64	1.5126773080e-82	0.0000000000e+00	8.3795099987e-17	1.8567247632e-09	7.5026789225e-40	6.6551712119e-11	5.3283866355e-51	7.2913658680e-37	2.1379326775e-53	4.3232307507e-28	4.3401293598e-33	8.3795099987e-17	2.6662453274e-30	9.9999999808e-01
1.1481536215e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.8272525876e-39	1.0165622096e-44	1.4381383627e-58	2.5605151361e-52	1.1990438881e-67	2.4619867269e-72	2.2375204202e-64	1.8528684667e-82	0.0000000000e+00	8.7743589211e-17	1.8999522561e-09	8.2262294424e-40	6.8101900633e-11	6.0259044048e-51	7.9702748306e-37	2.4441609829e-53	4.6323864328e-28	4.7586960576e-33	8.7743589211e-17	2.8568079746e-30	9.9999999803e-01
1.1748975549e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.0294384473e-39	1.1376083467e-44	1.6764796161e-58	2.8846768974e-52	1.4268942247e-67	3.0008130941e-72	2.6414016769e-64	2.2697332033e-82	0.0000000000e+00	9.1878118363e-17	1.9441856487e-09	9.0195507508e-40	6.9688197675e-11	6.8138258048e-51	8.7118335780e-37	2.7940031173e-53	4.9636489739e-28	5.2176255722e-33	9.1878118363e-17	3.0609874435e-30	9.9999999799e-01
1.2022644346e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.2460828321e-39	1.2729941222e-44	1.9542995814e-58	3.2492353433e-52	1.6980953678e-67	3.6584520214e-72	3.1178046940e-64	2.7808600116e-82	0.0000000000e+00	9.6207451902e-17	1.9894483244e-09	9.8893707091e-40	7.1311444323e-11	7.7037403713e-51	9.5217625109e-37	3.1936257579e-53	5.3185990802e-28	5.7208101468e-33	9.6207451902e-17	3.2797564338e-30	9.9999999794e-01
