Time            	CO2             	H2              	CH4             	H2O             	CO              	CH3OH           	CH2O            	C*              	CH*             	CH2*            	CH2O*           	CH2OH*          	CH3*            	CH3O*           	CH3OH*          	CH4*            	CO*             	CO2*            	COH*            	H*              	H2O*            	HCO*            	HCOH*           	HCOO*           	OH*             	O*              	COOH*           	*               
0.0000000000e+00	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00
1.0000000000e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.8680062906e-39	5.1699135119e-45	8.7303106783e-59	3.3899952182e-52	6.9373161268e-68	1.1382597094e-72	2.0822810434e-64	9.0574712255e-83	0.0000000000e+00	6.6563123663e-17	1.6548938258e-09	4.7346650574e-40	5.9314275873e-11	2.8744397040e-51	4.6675009119e-37	1.0933806064e-53	3.0607326027e-28	2.7388716050e-33	6.6563123663e-17	1.8879439094e-30	9.9999999829e-01
1.0232929923e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0015948580e-39	5.7874268669e-45	1.0224073955e-58	3.8824446852e-52	8.2965831312e-68	1.3889512351e-72	2.4912848757e-64	1.1119623483e-82	0.0000000000e+00	6.9699685308e-17	1.6934244278e-09	5.1912885001e-40	6.0695882841e-11	3.2530753051e-51	5.1036487209e-37	1.2505059425e-53	3.2796096039e-28	3.0030206735e-33	6.9699685308e-17	2.0228892246e-30	9.9999999825e-01
1.0471285481e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.1447366275e-39	6.4783397478e-45	1.1974658456e-58	4.4462546583e-52	9.9262117401e-68	1.6965143954e-72	2.9818945448e-64	1.3682161041e-82	0.0000000000e+00	7.2984035531e-17	1.7328517299e-09	5.6919467930e-40	6.2109671569e-11	3.6810021669e-51	5.5802273301e-37	1.4300994511e-53	3.5141381756e-28	3.2926437982e-33	7.2984035531e-17	2.1674781056e-30	9.9999999821e-01
1.0715193052e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.2981147449e-39	7.2513122549e-45	1.4026383167e-58	5.0917297874e-52	1.1880530894e-67	2.0741147000e-72	3.5705709913e-64	1.6864407009e-82	0.0000000000e+00	7.6423137034e-17	1.7731965818e-09	6.2408868253e-40	6.3556391666e-11	4.1645721180e-51	6.1009501266e-37	1.6353526759e-53	3.7654374795e-28	3.6101978705e-33	7.6423137034e-17	2.3223995174e-30	9.9999999816e-01
1.0964781961e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4624612053e-39	8.1160621190e-45	1.6430542650e-58	5.8306535198e-52	1.4223081784e-67	2.5373709496e-72	4.2765742789e-64	2.0796490896e-82	0.0000000000e+00	8.0024280488e-17	1.8144803167e-09	6.8427632150e-40	6.5036810204e-11	4.7109904594e-51	6.6698604067e-37	1.8699107657e-53	4.0347066971e-28	3.9583756696e-33	8.0024280488e-17	2.4883916295e-30	9.9999999812e-01
1.1220184543e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.6385603457e-39	9.0834563559e-45	1.9247059054e-58	6.6764995982e-52	1.7029640797e-67	3.1053317302e-72	5.1228880326e-64	2.5639965965e-82	0.0000000000e+00	8.3795099987e-17	1.8567247632e-09	7.5026789225e-40	6.6551712119e-11	5.3283866355e-51	7.2913658680e-37	2.1379326775e-53	4.3232307507e-28	4.3401293598e-33	8.3795099987e-17	2.6662453274e-30	9.9999999808e-01
1.1481536215e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.8272525876e-39	1.0165622096e-44	2.2546295200e-58	7.6446750668e-52	2.0391505950e-67	3.8015512303e-72	6.1372249557e-64	3.1606753795e-82	0.0000000000e+00	8.7743589211e-17	1.8999522561e-09	8.2262294424e-40	6.8101900633e-11	6.0259044048e-51	7.9702748306e-37	2.4441609829e-53	4.6323864328e-28	4.7586960576e-33	8.7743589211e-17	2.8568079746e-30	9.9999999803e-01
1.1748975549e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.0294384473e-39	1.1376083467e-44	2.6411014442e-58	8.7527997805e-52	2.4418992174e-67	4.6552531105e-72	7.3530969933e-64	3.8968536337e-82	0.0000000000e+00	9.1878118363e-17	1.9441856487e-09	9.0195507508e-40	6.9688197675e-11	6.8138258048e-51	8.7118335780e-37	2.7940031173e-53	4.9636489739e-28	5.2176255722e-33	9.1878118363e-17	3.0609874435e-30	9.9999999799e-01
1.2022644346e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.2460828321e-39	1.2729941222e-44	3.0938235572e-58	1.0021022229e-51	2.9244516681e-67	5.7023918593e-72	8.8107611603e-64	4.8057469947e-82	0.0000000000e+00	9.6207451902e-17	1.9894483244e-09	9.8893707091e-40	7.1311444323e-11	7.7037403713e-51	9.5217625109e-37	3.1936257579e-53	5.3185990802e-28	5.7208101468e-33	9.6207451902e-17	3.2797564338e-30	9.9999999794e-01
1.2302687708e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.4782196448e-39	1.4244075414e-44	3.6241335881e-58	1.1472377316e-51	3.5026144098e-67	6.9869043857e-72	1.0558307362e-63	5.9273285642e-82	0.0000000000e+00	1.0074076710e-16	2.0357642091e-09	1.0843065267e-39	7.2972501241e-11	8.7087311976e-51	1.0406294940e-36	3.6500617280e-53	5.6989304742e-28	6.2725169779e-33	1.0074076710e-16	3.5141571005e-30	9.9999999789e-01
1.2589254118e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.7269567169e-39	1.5937352298e-44	4.2452803262e-58	1.3133195920e-51	4.1952576338e-67	8.5624966234e-72	1.2653190323e-63	7.3104837258e-82	0.0000000000e+00	1.0548767349e-16	2.0831577835e-09	1.1888720869e-39	7.4672249146e-11	9.8435580065e-51	1.1372222303e-36	4.1713299334e-53	6.1064579743e-28	6.8774243231e-33	1.0548767349e-16	3.7653060097e-30	9.9999999784e-01
1.2882495517e-12	2.0000000000e-01	8.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.9934810940e-39	1.7830841599e-44	4.9727724301e-58	1.5033578104e-51	5.0249795847e-67	1.0495072818e-71	1.5164270849e-63	9.0159422128e-82	0.0000000000e+00	1.1045823322e-16	2.1316540964e-09	1.3035203490e-39	7.6411589265e-11	1.1124850972e-50	1.2426945562e-36	4.7665717915e-53	6.5431261514e-28	7.5406614423e-33	1.1045823322e-16	4.0343994488e-30	9.9999999779e-01
