Time            	CO2             	H2              	CH4             	H2O             	CO              	CH3OH           	CH2O            	C*              	CH*             	CH2*            	CH2O*           	CH2OH*          	CH3*            	CH3O*           	CH3OH*          	CH4*            	CO*             	CO2*            	COH*            	H*              	H2O*            	HCO*            	HCOH*           	HCOO*           	OH*             	O*              	COOH*           	*               
0.0000000000e+00	-1.6556000000e+03	-2.9657137987e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6556000000e+03	0.0000000000e+00	5.9314275975e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.7149142760e+03
1.0000000000e-12	-1.6541879856e+03	-2.9657137886e+01	1.1185167734e-74	2.7689823290e-38	0.0000000000e+00	1.7874118762e-69	0.0000000000e+00	5.6036204278e-27	2.5339508521e-32	5.9868332705e-46	1.9971951268e-39	5.3853706481e-55	9.8173705898e-60	1.6200426265e-51	8.0181391057e-70	0.0000000000e+00	1.3310731681e-04	1.6541878524e+03	1.8932058072e-27	5.9314275771e+01	1.5457367339e-38	1.8114087719e-24	6.3777563875e-41	9.1812174674e-16	1.0951868899e-20	1.3310731681e-04	5.6606615718e-18	-1.7135023944e+03
1.0232929923e-12	-1.6541551099e+03	-2.9657137883e+01	1.3966517695e-74	3.1337265562e-38	0.0000000000e+00	2.1943593942e-69	0.0000000000e+00	5.8676720516e-27	2.7707321902e-32	6.8559783801e-46	2.2346236165e-39	6.3081480496e-55	1.1764570494e-59	1.8985962414e-51	9.7435545500e-70	0.0000000000e+00	1.3620643106e-04	1.6541549737e+03	2.0285272656e-27	5.9314275767e+01	1.7073190253e-38	1.9343343728e-24	7.1242017674e-41	9.6138192799e-16	1.1734705333e-20	1.3620643106e-04	5.9271312163e-18	-1.7134695218e+03
1.0471285481e-12	-1.6541214691e+03	-2.9657137881e+01	1.7456560855e-74	3.5459536476e-38	0.0000000000e+00	2.7000535278e-69	0.0000000000e+00	6.1441652655e-27	3.0294631030e-32	7.8508997246e-46	2.5001307412e-39	7.3886449336e-55	1.4099524157e-59	2.2249571739e-51	1.1794230793e-69	0.0000000000e+00	1.3937766918e-04	1.6541213297e+03	2.1735191735e-27	5.9314275762e+01	1.8856190985e-38	2.0654533635e-24	7.9572416593e-41	1.0066802149e-15	1.2573487873e-20	1.3937766918e-04	6.2061371026e-18	-1.7134358842e+03
1.0715193052e-12	-1.6540870454e+03	-2.9657137878e+01	2.1839058273e-74	4.0117823959e-38	0.0000000000e+00	3.3280416379e-69	0.0000000000e+00	6.4336862247e-27	3.3121595604e-32	8.9897165248e-46	2.7970176728e-39	8.6537289356e-55	1.6899689550e-59	2.6073098969e-51	1.4234659485e-69	0.0000000000e+00	1.4262270816e-04	1.6540869028e+03	2.3288724169e-27	5.9314275757e+01	2.0823495813e-38	2.2052985055e-24	8.8868191221e-41	1.0541126116e-15	1.3472213709e-20	1.4262270816e-04	6.4982684681e-18	-1.7134014638e+03
1.0964781961e-12	-1.6540518207e+03	-2.9657137876e+01	2.7339155860e-74	4.5381537542e-38	0.0000000000e+00	4.1040036324e-69	0.0000000000e+00	6.7368486951e-27	3.6210166372e-32	1.0293169132e-45	3.1289676192e-39	1.0134832412e-54	2.0257148093e-59	3.0552343025e-51	1.7169681633e-69	0.0000000000e+00	1.4594326389e-04	1.6540516747e+03	2.4953272236e-27	5.9314275752e+01	2.2993544109e-38	2.3544364941e-24	9.9239914741e-41	1.1037796431e-15	1.4435165530e-20	1.4594326389e-04	6.8041422074e-18	-1.7133662424e+03
1.1220184543e-12	-1.6540157762e+03	-2.9657137873e+01	3.4238059199e-74	5.1328989142e-38	0.0000000000e+00	5.0598206199e-69	0.0000000000e+00	7.0542953530e-27	3.9584272390e-32	1.1784974972e-45	3.5000921382e-39	1.1868716564e-54	2.4282038824e-59	3.5799428604e-51	2.0722180715e-69	0.0000000000e+00	1.4934109209e-04	1.6540156269e+03	2.6736766843e-27	5.9314275747e+01	2.5386582122e-38	2.5134696801e-24	1.1081063148e-40	1.1557865685e-15	1.5466931891e-20	1.4934109209e-04	7.1244041682e-18	-1.7133302013e+03
1.1481536215e-12	-1.6539788930e+03	-2.9657137871e+01	4.2890586507e-74	5.8048261683e-38	0.0000000000e+00	6.2373134503e-69	0.0000000000e+00	7.3866991470e-27	4.3270017663e-32	1.3492239958e-45	3.9149823759e-39	1.3898367859e-54	2.9106572943e-59	4.1945587233e-51	2.5017343937e-69	0.0000000000e+00	1.5281798921e-04	1.6539787401e+03	2.8647705253e-27	5.9314275741e+01	2.8025110097e-38	2.6830379623e-24	1.2371731292e-40	1.2102436033e-15	1.6572429051e-20	1.5281798921e-04	7.4597305063e-18	-1.7132933215e+03
1.1748975549e-12	-1.6539411514e+03	-2.9657137868e+01	5.3745788218e-74	6.5638403269e-38	0.0000000000e+00	7.6900961550e-69	0.0000000000e+00	7.7347647232e-27	4.7295883865e-32	1.5445937233e-45	4.3787653373e-39	1.6274051252e-54	3.4889669705e-59	4.9144420939e-51	3.0189149560e-69	0.0000000000e+00	1.5637579340e-04	1.6539409951e+03	3.0695191504e-27	5.9314275736e+01	3.0934160055e-38	2.8638209101e-24	1.3811243666e-40	1.2672661532e-15	1.7756924359e-20	1.5637579340e-04	7.8108291056e-18	-1.7132555836e+03
1.2022644346e-12	-1.6539025317e+03	-2.9657137865e+01	6.7368704435e-74	7.4211057290e-38	0.0000000000e+00	9.4837168547e-69	0.0000000000e+00	8.0992299178e-27	5.1692926620e-32	1.7681467911e-45	4.8971643954e-39	1.9054541515e-54	4.1821925627e-59	5.7575700807e-51	3.6404912119e-69	0.0000000000e+00	1.6001638545e-04	1.6539023717e+03	3.2888979718e-27	5.9314275730e+01	3.4141305004e-38	3.0565402868e-24	1.5416565407e-40	1.3269750582e-15	1.9026061321e-20	1.6001638545e-04	8.1784410632e-18	-1.7132169675e+03
