Time            	CO2             	H2              	CH4             	H2O             	CO              	CH3OH           	CH2O            	C*              	CH*             	CH2*            	CH2O*           	CH2OH*          	CH3*            	CH3O*           	CH3OH*          	CH4*            	CO*             	CO2*            	COH*            	H*              	H2O*            	HCO*            	HCOH*           	HCOO*           	OH*             	O*              	COOH*           	*               
0.0000000000e+00	-1.6556000000e+04	-2.9657137987e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6556000000e+04	0.0000000000e+00	5.9314275975e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.7149142760e+04
1.0000000000e-12	-1.6541879169e+04	-2.9657136971e+02	8.4856313184e-70	2.7807873746e-35	1.2224313597e-11	1.0741340262e-64	1.3498619791e-36	5.6036201719e-26	2.5313476346e-30	3.8354482462e-43	6.4681609105e-37	3.2343596404e-51	6.7747297596e-56	5.9777682096e-48	6.2404031963e-65	0.0000000000e+00	1.3310731078e-03	1.6541877838e+04	1.8932058173e-25	5.9314273941e+02	1.5338007527e-35	1.8117184127e-22	6.3575421808e-38	9.1812171353e-14	1.0951868925e-18	1.3310731200e-03	5.6606613665e-16	-1.7135023239e+04
1.0232929923e-12	-1.6541550396e+04	-2.9657136947e+02	1.0336459593e-69	3.1431223567e-35	1.2800342951e-11	1.3243127682e-64	1.5211541460e-36	5.8676717774e-26	2.7681684744e-30	4.3667242327e-43	7.1317628141e-37	3.7549588671e-51	8.0165300920e-56	6.8932323890e-48	7.1443873430e-65	0.0000000000e+00	1.3620642474e-03	1.6541549034e+04	2.0285272678e-25	5.9314273894e+02	1.6977894528e-35	1.9346393043e-22	7.1040751679e-38	9.6138189239e-14	1.1734705314e-18	1.3620642602e-03	5.9271309965e-16	-1.7134694497e+04
1.0471285481e-12	-1.6541213972e+04	-2.9657136923e+02	1.2717435434e-69	3.5533543763e-35	1.3403513669e-11	1.6747282674e-64	1.7138799442e-36	6.1441649717e-26	3.0269399817e-30	4.9716613250e-43	7.8621975822e-37	4.3598853080e-51	9.5007881634e-56	7.9474915805e-48	7.8400474196e-65	0.0000000000e+00	1.3937766256e-03	1.6541212578e+04	2.1735191672e-25	5.9314273845e+02	1.8780813393e-35	2.0657534547e-22	7.9372837413e-38	1.0066801768e-13	1.2573487805e-18	1.3937766390e-03	6.2061368671e-16	-1.7134358104e+04
1.0715193052e-12	-1.6540869718e+04	-2.9657136898e+02	1.5689136222e-69	4.0176411970e-35	1.4035104449e-11	2.0868023793e-64	1.9311336532e-36	6.4336859099e-26	3.3096726261e-30	5.6609315834e-43	8.6615419676e-37	5.0636178522e-51	1.1270340047e-55	9.1635129069e-48	8.8353009249e-65	0.0000000000e+00	1.4262270123e-03	1.6540868292e+04	2.3288724023e-25	5.9314273796e+02	2.0763490194e-35	2.2055942799e-22	8.8670245690e-38	1.0541125707e-13	1.3472213593e-18	1.4262270263e-03	6.4982682157e-16	-1.7134013883e+04
1.0964781961e-12	-1.6540517454e+04	-2.9657136873e+02	1.9364418244e-69	4.5428048536e-35	1.4696454224e-11	2.5581449974e-64	2.1760555468e-36	6.7368483578e-26	3.6185638211e-30	6.4463151622e-43	9.5353069953e-37	5.8824105345e-51	1.3377986148e-55	1.0566219388e-47	1.0329094064e-64	0.0000000000e+00	1.4594325663e-03	1.6540515994e+04	2.4953272003e-25	5.9314273745e+02	2.2945559497e-35	2.3547281968e-22	9.9043430299e-38	1.1037795993e-13	1.4435165363e-18	1.4594325810e-03	6.8041419371e-16	-1.7133661651e+04
1.1220184543e-12	-1.6540156991e+04	-2.9657136847e+02	2.3921037859e-69	5.1365527505e-35	1.5388964995e-11	3.1190213761e-64	2.4519415395e-36	7.0542949916e-26	3.9560103152e-30	7.3409887124e-43	1.0491756986e-36	6.8347667041e-51	1.5888865666e-55	1.2183154168e-47	1.2257988436e-64	0.0000000000e+00	1.4934108449e-03	1.6540155498e+04	2.6736766510e-25	5.9314273693e+02	2.5348516926e-35	2.5137570988e-22	1.1061566412e-37	1.1557865216e-13	1.5466931666e-18	1.4934108602e-03	7.1244038786e-16	-1.7133301222e+04
1.1481536215e-12	-1.6539788141e+04	-2.9657136820e+02	2.9589560305e-69	5.8076387862e-35	1.6114104799e-11	3.8056518854e-64	2.7624825485e-36	7.3866987597e-26	4.3246240473e-30	8.3599530986e-43	1.1539995618e-36	7.9421683265e-51	1.8881350003e-55	1.4045886431e-47	1.4557819015e-64	0.0000000000e+00	1.5281798125e-03	1.6539786613e+04	2.8647704801e-25	5.9314273640e+02	2.7995413949e-35	2.6833207017e-22	1.2352407569e-37	1.2102435530e-13	1.6572428757e-18	1.5281798286e-03	7.4597301960e-16	-1.7132932406e+04
1.1748975549e-12	-1.6539410708e+04	-2.9657136793e+02	3.6647453061e-69	6.5659670356e-35	1.6873410824e-11	4.6468795304e-64	3.1119096326e-36	7.7347643082e-26	4.7272518372e-30	9.5203782877e-43	1.2689070653e-36	9.2297165671e-51	2.2448365170e-55	1.6191107867e-47	1.7296443021e-64	0.0000000000e+00	1.5637578507e-03	1.6539409144e+04	3.0695190916e-25	5.9314273586e+02	3.0911287055e-35	2.8640987349e-22	1.3792109443e-37	1.2672660994e-13	1.7756923988e-18	1.5637578676e-03	7.8108287732e-16	-1.7132555007e+04
1.2022644346e-12	-1.6539024492e+04	-2.9657136765e+02	4.5432235460e-69	7.4226999462e-35	1.7668492664e-11	5.6712340647e-64	3.5050163729e-36	8.0992294732e-26	5.1669973206e-30	1.0841851223e-42	1.3948376180e-36	1.0726641190e-50	2.6700119413e-55	1.8661202212e-47	2.0615979084e-64	0.0000000000e+00	1.6001637672e-03	1.6539022891e+04	3.2888978981e-25	5.9314273530e+02	3.4123720711e-35	3.0568131908e-22	1.5397625254e-37	1.3269750005e-13	1.9026060863e-18	1.6001637849e-03	8.1784407071e-16	-1.7132168827e+04
