Time            	CO2             	H2              	CH4             	H2O             	CO              	CH3OH           	CH2O            	C*              	CH*             	CH2*            	CH2O*           	CH2OH*          	CH3*            	CH3O*           	CH3OH*          	CH4*            	CO*             	CO2*            	COH*            	H*              	H2O*            	HCO*            	HCOH*           	HCOO*           	OH*             	O*              	COOH*           	*               
0.0000000000e+00	-1.6556000000e+04	-2.9651839591e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6556000000e+04	0.0000000000e+00	5.9303679182e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.7149036792e+04
1.0000000000e-12	-1.6541879648e+04	-2.9651838575e+02	8.4147103996e-70	2.7804306320e-35	1.2224313361e-11	1.0607682510e-64	1.3497856904e-36	5.6036202260e-26	2.5308964978e-30	3.8344756774e-43	6.4617960883e-37	3.2332539851e-51	6.7666478781e-56	5.9763624902e-48	6.3177324515e-65	0.0000000000e+00	1.3310731270e-03	1.6541878317e+04	1.8928676069e-25	5.9303677149e+02	1.5326163857e-35	1.8113946296e-22	6.3552156487e-38	9.1795769978e-14	1.0949912436e-18	1.3310731393e-03	5.6596501430e-16	-1.7134917751e+04
1.0232929923e-12	-1.6541550886e+04	-2.9651838551e+02	1.0256341231e-69	3.1425083444e-35	1.2800342699e-11	1.3106834260e-64	1.5209562076e-36	5.8676718354e-26	2.7676749871e-30	4.3655059446e-43	7.1257656805e-37	3.7535479162e-51	8.0074316153e-56	6.8911040828e-48	7.2175341743e-65	0.0000000000e+00	1.3620642676e-03	1.6541549524e+04	2.0281648835e-25	5.9303677102e+02	1.6966743246e-35	1.9342935676e-22	7.1014775025e-38	9.6121015095e-14	1.1732608978e-18	1.3620642804e-03	5.9260721727e-16	-1.7134589020e+04
1.0471285481e-12	-1.6541214474e+04	-2.9651838527e+02	1.2632707073e-69	3.5524859528e-35	1.3403513398e-11	1.6638247803e-64	1.7135331769e-36	6.1441650338e-26	3.0264003053e-30	4.9701503808e-43	7.8567402790e-37	4.3580802640e-51	9.4908649279e-56	7.9444640188e-48	7.8822884455e-65	0.0000000000e+00	1.3937766468e-03	1.6541213080e+04	2.1731308816e-25	5.9303677054e+02	1.8770096574e-35	2.0653842911e-22	7.9343894358e-38	1.0065003436e-13	1.2571241629e-18	1.3937766602e-03	6.2050282038e-16	-1.7134252638e+04
1.0715193052e-12	-1.6540870232e+04	-2.9651838502e+02	1.5600098107e-69	4.0165225740e-35	1.4035104159e-11	2.0779830538e-64	1.9306427859e-36	6.4336859764e-26	3.3090824475e-30	5.6591106973e-43	8.6564646102e-37	5.0613733104e-51	1.1259480495e-55	9.1595469937e-48	8.8529776091e-65	0.0000000000e+00	1.4262270344e-03	1.6540868806e+04	2.3284563644e-25	5.9303677004e+02	2.0752908376e-35	2.2052001343e-22	8.8637996539e-38	1.0539242646e-13	1.3469806869e-18	1.4262270485e-03	6.4971073685e-16	-1.7133908428e+04
1.0964781961e-12	-1.6540517979e+04	-2.9651838477e+02	1.9269589157e-69	4.5414326332e-35	1.4696453914e-11	2.5498322839e-64	2.1754313530e-36	6.7368484291e-26	3.6179184295e-30	6.4441701594e-43	9.5303759560e-37	5.8796874296e-51	1.3365941364e-55	1.0561301353e-47	1.0336562653e-64	0.0000000000e+00	1.4594325895e-03	1.6540516520e+04	2.4948814270e-25	5.9303676953e+02	2.2934857921e-35	2.3543074135e-22	9.9007480388e-38	1.1035824211e-13	1.4432586618e-18	1.4594326042e-03	6.8029264512e-16	-1.7133556208e+04
1.1220184543e-12	-1.6540157529e+04	-2.9651838451e+02	2.3819197088e-69	5.1349147749e-35	1.5388964662e-11	3.1105105686e-64	2.4511854997e-36	7.0542950680e-26	3.9553046079e-30	7.3384926102e-43	1.0486817189e-36	6.8315065774e-51	1.5875378717e-55	1.2177221677e-47	1.2260978670e-64	0.0000000000e+00	1.4934108691e-03	1.6540156036e+04	2.6731990176e-25	5.9303676901e+02	2.5337493229e-35	2.5133079106e-22	1.1057558117e-37	1.1555800533e-13	1.5464168607e-18	1.4934108845e-03	7.1231311839e-16	-1.7133195792e+04
1.1481536215e-12	-1.6539788692e+04	-2.9651838424e+02	2.9480046454e-69	5.8057169378e-35	1.6114104442e-11	3.7970052333e-64	2.7615873923e-36	7.3866988416e-26	4.3238524725e-30	8.3570661582e-43	1.1534963266e-36	7.9382907438e-51	1.8866170619e-55	1.4038826454e-47	1.4554694897e-64	0.0000000000e+00	1.5281798379e-03	1.6539787163e+04	2.8642587100e-25	5.9303676848e+02	2.7983885863e-35	2.6828412247e-22	1.2347938601e-37	1.2100273571e-13	1.6569468214e-18	1.5281798540e-03	7.4583976020e-16	-1.7132826988e+04
1.1748975549e-12	-1.6539411271e+04	-2.9651838397e+02	3.6529475338e-69	6.5637389916e-35	1.6873410442e-11	4.6380903218e-64	3.1108655907e-36	7.7347643959e-26	4.7264083262e-30	9.5170537403e-43	1.2683868527e-36	9.2251266422e-51	2.2431200647e-55	1.6182784131e-47	1.7286087960e-64	0.0000000000e+00	1.5637578773e-03	1.6539409707e+04	3.0689707456e-25	5.9303676794e+02	3.0899070031e-35	2.8635869650e-22	1.3787126989e-37	1.2670397175e-13	1.7753751848e-18	1.5637578942e-03	7.8094334625e-16	-1.7132449603e+04
1.2022644346e-12	-1.6539025068e+04	-2.9651838369e+02	4.5304379781e-69	7.4201385571e-35	1.7668492254e-11	5.6619188031e-64	3.5038136921e-36	8.0992295672e-26	5.1660752380e-30	1.0838037134e-42	1.3942906298e-36	1.0721232207e-50	2.6680596773e-55	1.8651466210e-47	2.0600516596e-64	0.0000000000e+00	1.6001637951e-03	1.6539023468e+04	3.2883103627e-25	5.9303676738e+02	3.4110628732e-35	3.0562669963e-22	1.5392070059e-37	1.3267379529e-13	1.9022662007e-18	1.6001638128e-03	8.1769797302e-16	-1.7132063435e+04
1.2302687708e-12	-1.6538629878e+04	-2.9651838341e+02	5.6226684600e-69	8.3874835122e-35	1.8501035284e-11	6.9081488967e-64	3.9457853084e-36	8.4808669447e-26	5.6462361011e-30	1.2342274848e-42	1.5322510081e-36	1.2460495568e-50	3.1745622961e-55	2.1493413876e-47	2.4621076690e-64	0.0000000000e+00	1.6374168355e-03	1.6538628241e+04	3.5233224357e-25	5.9303676681e+02	3.7649013295e-35	3.2616479011e-22	1.7181622894e-37	1.3892485706e-13	2.0382244122e-18	1.6374168540e-03	8.5618121311e-16	-1.7131668283e+04
1.2589254118e-12	-1.6538225494e+04	-2.9651838312e+02	6.9829105742e-69	9.4799465345e-35	1.9372804320e-11	8.4310401566e-64	4.4427484707e-36	8.8804855073e-26	6.1705779732e-30	1.4055061183e-42	1.6834391955e-36	1.4482202156e-50	3.7783065216e-55	2.4764162941e-47	2.9441057492e-64	0.0000000000e+00	1.6755366890e-03	1.6538223818e+04	3.7751264442e-25	5.9303676623e+02	4.1547667223e-35	3.4805436601e-22	1.9176758698e-37	1.4547040350e-13	2.1838975314e-18	1.6755367084e-03	8.9647427803e-16	-1.7131263935e+04
1.2882495517e-12	-1.6537811700e+04	-2.9651838282e+02	8.6778952751e-69	1.0713518359e-34	2.0285647276e-11	1.0295874024e-63	5.0013919121e-36	9.2989323367e-26	6.7431185371e-30	1.6005179896e-42	1.8491328269e-36	1.6831959916e-50	4.4979975072e-55	2.8527439311e-47	3.5183001726e-64	0.0000000000e+00	1.7145435030e-03	1.6537809985e+04	4.0449217967e-25	5.9303676564e+02	4.5843215167e-35	3.7138184805e-22	2.1400795794e-37	1.5232430474e-13	2.3399795203e-18	1.7145435233e-03	9.3866218838e-16	-1.7130850180e+04
1.3182567386e-12	-1.6537388278e+04	-2.9651838251e+02	1.0790651509e-68	1.2106231705e-34	2.1241499097e-11	1.2577994400e-63	5.6292336365e-36	9.7370944118e-26	7.3682352579e-30	1.8225406456e-42	2.0307022698e-36	1.9562757042e-50	5.3559186687e-55	3.2856488863e-47	4.2035421900e-64	0.0000000000e+00	1.7544578919e-03	1.6537386524e+04	4.3339935347e-25	5.9303676503e+02	5.0575828363e-35	3.9623897296e-22	2.3879651956e-37	1.5950108399e-13	2.5072138914e-18	1.7544579131e-03	9.8283395215e-16	-1.7130426798e+04
1.3489628826e-12	-1.6536955005e+04	-2.9651838220e+02	1.3424600878e-68	1.3678408262e-34	2.2242385863e-11	1.5368279342e-63	6.3347083491e-36	1.0195900487e-25	8.0506972445e-30	2.0753043478e-42	2.2296290511e-36	2.2736131055e-50	6.3786182840e-55	3.7835412771e-47	5.0234046459e-64	0.0000000000e+00	1.7953009483e-03	1.6536953210e+04	4.6437184422e-25	5.9303676440e+02	5.5789677098e-35	4.2272310048e-22	2.6642129941e-37	1.6701594828e-13	2.6863972442e-18	1.7953009705e-03	1.0290827512e-15	-1.7129993565e+04
