Time            	CO2             	H2              	CH4             	H2O             	CO              	CH3OH           	CH2O            	C*              	CH*             	CH2*            	CH2O*           	CH2OH*          	CH3*            	CH3O*           	CH3OH*          	CH4*            	CO*             	CO2*            	COH*            	H*              	H2O*            	HCO*            	HCOH*           	HCOO*           	OH*             	O*              	COOH*           	*               
0.0000000000e+00	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00
1.0000000000e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.8680062551e-38	5.2083415919e-43	9.4897705956e-56	3.4955640447e-49	7.6406691284e-64	1.3284574680e-68	2.2970927198e-60	8.8959136128e-78	0.0000000000e+00	6.6563122700e-16	1.6548938154e-08	4.7336723169e-38	5.9303678166e-10	2.8861133048e-48	4.6618857300e-35	1.1227713980e-50	3.0601857547e-26	2.7382995476e-31	6.6563122700e-16	1.8876066782e-28	9.9999998286e-01
1.0232929923e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0015948185e-38	5.8251370503e-43	1.1007836463e-55	3.9878026039e-49	9.0009088703e-64	1.5856531083e-68	2.7067598965e-60	1.1069344725e-77	0.0000000000e+00	6.9699684276e-16	1.6934244169e-08	5.1902144251e-38	6.0685038259e-10	3.2620232200e-48	5.0980281532e-35	1.2795274119e-50	3.2790236476e-26	3.0024015645e-31	6.9699684276e-16	2.0225278816e-28	9.9999998246e-01
1.0471285481e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.1447365836e-38	6.5152973197e-43	1.2786878230e-55	4.5508414178e-49	1.0667170852e-63	1.9147160843e-68	3.2090740786e-60	1.4177817793e-77	0.0000000000e+00	7.2984034426e-16	1.7328517186e-08	5.6907831436e-38	6.2098574362e-10	3.6876505319e-48	5.5745962762e-35	1.4585622165e-50	3.5135103144e-26	3.2919728698e-31	7.2984034426e-16	2.1670909279e-28	9.9999998205e-01
1.0715193052e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.2981146962e-38	7.2875583109e-43	1.4868288073e-55	5.1954762546e-49	1.2666400014e-63	2.3183445377e-68	3.8120691297e-60	1.7838147671e-77	0.0000000000e+00	7.6423135849e-16	1.7731965699e-08	6.2396235470e-38	6.3545035948e-10	4.1693880234e-48	6.0952925436e-35	1.6632332278e-50	3.7647647169e-26	3.6094693085e-31	7.6423135849e-16	2.3219846597e-28	9.9999998163e-01
1.0964781961e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4624611514e-38	8.1516061956e-43	1.7301869960e-55	5.9336138710e-49	1.5049641246e-63	2.8074505422e-68	4.5311640601e-60	2.2019694373e-77	0.0000000000e+00	8.0024279219e-16	1.8144803042e-08	6.8413901243e-38	6.5025189952e-10	4.7143113339e-48	6.6641638275e-35	1.8972274880e-50	4.0339858224e-26	3.9575835843e-31	8.0024279219e-16	2.4879471141e-28	9.9999998120e-01
1.1220184543e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.6385602861e-38	9.1182567652e-43	2.0147817141e-55	6.7786471743e-49	1.7894600719e-63	3.4020242341e-68	5.3899436236e-60	2.7013086697e-77	0.0000000000e+00	8.3795098627e-16	1.8567247501e-08	7.5011861072e-38	6.6539821171e-10	5.3304142006e-48	7.2856241619e-35	2.1646755461e-50	4.3224583231e-26	4.3392680162e-31	8.3795098627e-16	2.6657690345e-28	9.9999998077e-01
1.1481536215e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.8272525218e-38	1.0199617117e-42	2.3477266644e-55	7.7459092627e-49	2.1297961164e-63	4.1278884109e-68	6.4177846831e-60	3.3165792103e-77	0.0000000000e+00	8.7743587753e-16	1.8999522424e-08	8.2246066633e-38	6.8089732681e-10	6.0267786401e-48	7.9644838645e-35	2.4702935066e-50	4.6315587655e-26	4.7577595308e-31	8.7743587753e-16	2.8562976325e-28	9.9999998032e-01
1.1748975549e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.0294383744e-38	1.1409226861e-42	2.7373119175e-55	8.8530217639e-49	2.5371271056e-63	5.0148887041e-68	7.6485855167e-60	4.0750064459e-77	0.0000000000e+00	9.1878116802e-16	1.9441856344e-08	9.0177863291e-38	6.9675746267e-10	6.8136818191e-48	8.7059857901e-35	2.8194898739e-50	4.9627621165e-26	5.2166071051e-31	9.1878116802e-16	3.0604406184e-28	9.9999997986e-01
1.2022644346e-12	2.0000000000e+00	8.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.2460827515e-38	1.2762207353e-42	3.1931952538e-55	1.0120163748e-48	3.0244624942e-63	6.0982225338e-68	9.1218956084e-60	5.0035313406e-77	0.0000000000e+00	9.6207450229e-16	1.9894483094e-08	9.8874510319e-38	7.1298702854e-10	7.7027066083e-48	9.5158457540e-35	3.2184436540e-50	5.3176488000e-26	5.7197018645e-31	9.6207450229e-16	3.2791705189e-28	9.9999997939e-01
