Time            	CO2             	H2              	CH4             	H2O             	CO              	CH3OH           	CH2O            	C*              	CH*             	CH2*            	CH2O*           	CH2OH*          	CH3*            	CH3O*           	CH3OH*          	CH4*            	CO*             	CO2*            	COH*            	H*              	H2O*            	HCO*            	HCOH*           	HCOO*           	OH*             	O*              	COOH*           	*               
0.0000000000e+00	-1.6556000000e+04	-2.9651839591e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6556000000e+04	0.0000000000e+00	5.9303679182e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.7149036792e+04
1.0000000000e-12	-1.6541879648e+04	-2.9651838575e+02	1.3051823426e-69	2.7802276490e-35	0.0000000000e+00	1.7555299095e-64	0.0000000000e+00	5.6036202603e-26	2.5309023733e-30	6.1093118721e-43	1.9943567842e-36	5.5435130870e-51	1.0672476205e-55	1.6701941670e-47	1.0958420249e-64	0.0000000000e+00	1.3310731393e-03	1.6541878317e+04	1.8928676068e-25	5.9303677149e+02	1.5328194631e-35	1.8113939431e-22	6.3552786067e-38	9.1795769978e-14	1.0949912435e-18	1.3310731393e-03	5.6596501430e-16	-1.7134917751e+04
1.0232929923e-12	-1.6541550886e+04	-2.9651838551e+02	1.5941593040e-69	3.1423461902e-35	0.0000000000e+00	2.1844373260e-64	0.0000000000e+00	5.8676718721e-26	2.7676807828e-30	6.9781266481e-43	2.2316845548e-36	6.4689685028e-51	1.2666348496e-55	1.9497698196e-47	1.2528231319e-64	0.0000000000e+00	1.3620642804e-03	1.6541549524e+04	2.0281648834e-25	5.9303677102e+02	1.6968365756e-35	1.9342928918e-22	7.1015414792e-38	9.6121015095e-14	1.1732608978e-18	1.3620642804e-03	5.9260721727e-16	-1.7134589020e+04
1.0471285481e-12	-1.6541214474e+04	-2.9651838527e+02	1.9698262489e-69	3.5523580975e-35	0.0000000000e+00	2.7978670063e-64	0.0000000000e+00	6.1441650732e-26	3.0264059976e-30	7.9720891309e-43	2.4970826344e-36	7.5511765658e-51	1.5055409673e-55	2.2768864892e-47	1.3706397150e-64	0.0000000000e+00	1.3937766602e-03	1.6541213080e+04	2.1731308815e-25	5.9303677054e+02	1.8771376114e-35	2.0653836290e-22	7.9344527518e-38	1.0065003436e-13	1.2571241628e-18	1.3937766602e-03	6.2050282038e-16	-1.7134252638e+04
1.0715193052e-12	-1.6540870232e+04	-2.9651838502e+02	2.4406275715e-69	4.0164216155e-35	0.0000000000e+00	3.5202007494e-64	0.0000000000e+00	6.4336860187e-26	3.3090880468e-30	9.1098729488e-43	2.7938460341e-36	8.8178125558e-51	1.7913293940e-55	2.6599595216e-47	1.5449216276e-64	0.0000000000e+00	1.4262270485e-03	1.6540868806e+04	2.3284563644e-25	5.9303677004e+02	2.0753918968e-35	2.2051994847e-22	8.8638621385e-38	1.0539242646e-13	1.3469806869e-18	1.4262270485e-03	6.4971073685e-16	-1.7133908428e+04
1.0964781961e-12	-1.6540517979e+04	-2.9651838477e+02	3.0243750638e-69	4.5413527926e-35	0.0000000000e+00	4.3453920252e-64	0.0000000000e+00	6.7368484743e-26	3.6179239463e-30	1.0412334579e-42	3.1256583397e-36	1.0300525408e-50	2.1330091813e-55	3.1086292541e-47	1.8130144490e-64	0.0000000000e+00	1.4594326042e-03	1.6540516520e+04	2.4948814270e-25	5.9303676953e+02	2.2935657359e-35	2.3543067754e-22	9.9008099940e-38	1.1035824211e-13	1.4432586617e-18	1.4594326042e-03	6.8029264512e-16	-1.7133556208e+04
1.1220184543e-12	-1.6540157529e+04	-2.9651838451e+02	3.7502561955e-69	5.1348520920e-35	0.0000000000e+00	5.3307938575e-64	0.0000000000e+00	7.0542951164e-26	3.9553100418e-30	1.1903077040e-42	3.4966330151e-36	1.2035924550e-50	2.5416358196e-55	3.6340647607e-47	2.1624480742e-64	0.0000000000e+00	1.4934108845e-03	1.6540156036e+04	2.6731990175e-25	5.9303676901e+02	2.5338121115e-35	2.5133072841e-22	1.1057619649e-37	1.1555800533e-13	1.5464168607e-18	1.4934108845e-03	7.1231311839e-16	-1.7133195792e+04
1.1481536215e-12	-1.6539788692e+04	-2.9651838424e+02	4.6564128874e-69	5.8056683297e-35	0.0000000000e+00	6.5449758781e-64	0.0000000000e+00	7.3866988935e-26	4.3238578181e-30	1.3609111107e-42	3.9113611511e-36	1.4066838529e-50	3.0305479343e-55	4.2493452823e-47	2.5812562522e-64	0.0000000000e+00	1.5281798540e-03	1.6539787163e+04	2.8642587100e-25	5.9303676848e+02	2.7984373026e-35	2.6828406106e-22	1.2347999585e-37	1.2100273571e-13	1.6569468213e-18	1.5281798540e-03	7.4583976020e-16	-1.7132826988e+04
1.1748975549e-12	-1.6539411271e+04	-2.9651838397e+02	5.7887505194e-69	6.5637016237e-35	0.0000000000e+00	8.0416649807e-64	0.0000000000e+00	7.7347644515e-26	4.7264135812e-30	1.5561414765e-42	4.3749668964e-36	1.6443511769e-50	3.6156700518e-55	4.9698253878e-47	3.0833770321e-64	0.0000000000e+00	1.5637578942e-03	1.6539409707e+04	3.0689707455e-25	5.9303676794e+02	3.0899444816e-35	2.8635863638e-22	1.3787187301e-37	1.2670397175e-13	1.7753751848e-18	1.5637578942e-03	7.8094334625e-16	-1.7132449603e+04
1.2022644346e-12	-1.6539025068e+04	-2.9651838369e+02	7.2032220383e-69	7.4201098927e-35	0.0000000000e+00	9.8740267766e-64	0.0000000000e+00	8.0992296268e-26	5.1660804037e-30	1.7795429864e-42	4.8931698749e-36	1.9224759456e-50	4.3160097367e-55	5.8134925410e-47	3.6970337491e-64	0.0000000000e+00	1.6001638128e-03	1.6539023468e+04	3.2883103627e-25	5.9303676738e+02	3.4110916506e-35	3.0562664081e-22	1.5392129691e-37	1.3267379529e-13	1.9022662007e-18	1.6001638128e-03	8.1769797302e-16	-1.7132063435e+04
